,name,phone,address,rating,description,main_tag,sub_tag
0,4G Mobils,9744330102,"Mundakayam, Kottayam View Location",Be the first one to rate,"All kinds of mobile accessories,Second hand mobiles are also available....",Also listed In Mobile Phone Mobile phone accessories,Also listed In Mobile Phone Mobile phone accessories
1,Madeena Mobiles,9746883918,"Kanjirappally, Kottayam View Location",Be the first one to rate,"Mobile Phone Shop, Mobile phone accessories..........",Also listed In Mobile Phone Mobile phone accessories,Also listed In Mobile Phone Mobile phone accessories
2,Sangeetha Mobile,9847520849,"Mundakayam, Kottayam View Location",Be the first one to rate,All kinds of mobile accessories........................,Also listed In Mobile Phone Mobile phone accessories,Also listed In Mobile Phone Mobile phone accessories
3,Digi Cafe,9961451445 9961471445 9961441445,"Kanjirappally, Kottayam View Location",Be the first one to rate,All types of mobile accessories. We have mobile phones of all major brands at attractive rates. One stop shop for mobile phones,Also listed In Mobile Phone Mobile Phone Shop,Also listed In Mobile Phone Mobile Phone Shop
4,Salala mobiles,8075187286,"Puthuppally, Kottayam View Location",Be the first one to rate,Quck service all mobile phone samart phone tab torchu emergence lamp extr your choice you need low cost repier joing with salala mobiles,Also listed In Mobile Phone Mobile Number & Email Database Mobile Phone Accessories Shop Mobile Phone Servicing,Also listed In Mobile Phone Mobile Number & Email Database Mobile Phone Accessories Shop Mobile Phone Servicing
5,Mobile Gallery Multibrand Mobile Service Centre,9995854899,"Kanjikode, Palakkad View Location","5 out of 5, based on user votes","'Mobile Gallery ! Multi Brand Mobile Service Center. We Fix All Brand Touch Glass, Combo Fixing With Using New Technology. All Hardware & Software Problems. Computerised And Machinery wise Serviceing. ISO 9001:2008 Certified Technicians.",Also listed In Mobile Phone Mobile Care Mobile Phone Servicing Mobile Phone Unlocking,Also listed In Mobile Phone Mobile Care Mobile Phone Servicing Mobile Phone Unlocking
6,Cell Fix,9074502761,"Kadamkode, Palakkad View Location",Be the first one to rate,Reliable service Mobile phone accessories sales Phone unlocking Software hardware troubleshooting New connection Second hand mobile sales Chip level servicing we are providing Beyond your expectation,Also listed In Mobile Phone Mobile & D2h Rechaging Mobile Phone Servicing Sales and Service,Also listed In Mobile Phone Mobile & D2h Rechaging Mobile Phone Servicing Sales and Service
7,Orbit Mobiles,9605931907,"Koothattukulam, Ernakulam View Location",Be the first one to rate,"Mobile Phone shop. Mobile Phone Sales and Service. Dealers of all branded mobiles and Accessories. All types of Mobile Servicing and Recharging Etc... Phone :- Vivo, oppo, samsung, nokia, coolpad, mi, micromax etc.....",Also listed In Mobile Phone Mobile Phone Accessories Shop Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Phone Accessories Shop Mobile Phone Shop Sales and Service
8,Cell Phone City,9961484949,"Kanjirappally, Kottayam View Location",Be the first one to rate,"Mobile Phone shop. Mobile Phone Sales and Service. Dealers of all branded mobiles and Accessories. All types of Mobile Servicing and Recharging Etc... Phone :- Samsung, Nokia, Moto g, Oppo, Lenovo, Vivio etc.....",Also listed In Mobile Phone Mobile Phone Accessories Shop Mobile Phone Shop Sales and Service,Also listed In Mobile Phone Mobile Phone Accessories Shop Mobile Phone Shop Sales and Service
9,Orange Mobiles & Duty Paid Shop,9633560025 9847238621,"Kottarakkara, Kollam View Location",Be the first one to rate,"Mobile phone & Electronics Shop. Dealers and computerised repairing and service centre of all types of branded mobiles phones, spares and accessories,head phones, bluetooth headsets, wireless speakers, mobile phone covers,batteries, etc.Authorised dealers of Reliance Jio, Micromax, Lava, Samsung, Lenovo, Nokia, Intex & Oppo.",Also listed In Mobile Phone Mobile phone accessories Mobile Phone Accessories Shop Sales and Service,Also listed In Mobile Phone Mobile phone accessories Mobile Phone Accessories Shop Sales and Service
