,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,Rabia Balkhi University,world rank  12001,"Sorkh-e-Sorkh
Kabul
Kabul
Afghanistan",+93 (79) 955 1144,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
1,Rabindra Bharati University,world rank  7408,"56-A Barrackpore Trunk Road
Kolkata
700 050 West Bengal
India",+91 (33) 2556 8019,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Association of Commonwealth Universities (ACU)
Association of Indian Universities (AIU)
Distance Education Bureau (DEB)","Rabindra Bharati University
|
Faculty of Arts Faculty of Fine Arts Faculty of Visual Arts","['library', 'distant learning']"
2,Rabindra Maitree University,world rank  12960,"97/71, Ram Chandra Roy Chowdhury Street
Kushtia
7000 Khulna
Bangladesh",+880 071 71726,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Rabindra Maitree University
|
Faculty of Arts and Social Sciences Faculty of Legal Studies Faculty of Science and Engineering Faculty of Business Studies Faculty of Agriculture","['library', 'housing']"
3,"Rabindra University, Bangladesh",world rank  11504,"Shahjadpur-Khukni Road
Shahjadpur
6770 Rajshahi
Bangladesh",+880 (1786) 568 969,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Rabindra University, Bangladesh
|
Faculty of Music and Dance;Faculty of Fine Arts Faculty of Theater Faculty of Social Sciences Faculty of Business Administration Faculty of Law Faculty of Science Faculty of Zoology Faculty of Engineering and Technology",['library']
4,Rabindranath Tagore University,world rank  9424,"Bhojpur, Near Bangrasiya Chouraha, Bhopal-Chiklod Road, Raisen
Mendua Village
464 993 Madhya Pradesh
India",+91 (755) 270 0400,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
5,Radboud Universiteit,world rank  402,"Houtlaan 4
Nijmegen
6525 XZ Gelderland
Netherlands",+31 (24) 361 61 61,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"European University Association (EUA)
International Federation of Catholic Universities (IFCU)
International Research Universities Network (IRUN)","Radboud Universiteit
|
Faculty of Arts Faculty of Law Faculty of Medical Sciences Faculty of Philosophy, Theology and Religious Studies Faculty of Science Faculty of Social Sciences Nijmegen School of Management","['library', 'housing', 'sports facilities', 'financial aid']"
6,Radford University,world rank  962,"801 East Main Street
Radford
24142 Virginia
United States",+1 (540) 831 5000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
American Association for Leisure and Recreation (AALR), Council on Accreditation
Computing Accreditation Commission (CAC) of ABET","American Association of State Colleges and Universities (AASCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
7,Radford University College,world rank  11552,"PO Box CT 2837, Cantoment
Accra
Greater Accra
Ghana",+233 (302) 522 267,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,Kwame Nkrumah university of Science and Technology (KNUST),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
8,RAF International University,world rank  12914,"Along the Nairobi-Namanga Highway; PO Box 884 – 00242
Kisaju
00242 Nairobi
Kenya",+254 20 211 0965,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,"RAF International University
|
Faculty of Humanities and Social Science Faculty of Business Studies","['library', 'housing', 'sports facilities']"
9,Raffles University,world rank  10381,"Japanese Zone, National Highway-8
Neemrana
301 705 Rajasthan
India",+91 (992) 877 7777,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
