,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,Fachhochschule Aachen,world rank  992,"Bayernallee 11
Aachen
52066 North Rhine-Westphalia
Germany",+49 (241) 6009 50,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"European University Association
HochschulAllianz für Angewandte Wissenschaften (HAWtech)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
1,Fachhochschule Bielefeld,world rank  1834,"Kurt-Schumacher-Strasse 6
Bielefeld
33615 North Rhine-Westphalia
Germany",+49 (521) 106-01,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Fachhochschule Bielefeld
|
Faculty of Design Faculty of Architecture, Civil Engineering and Computer Science Faculty of Engineering and Mathematics Faculty of Social Sciences Faculty of Business and Health","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
2,Fachhochschule Burgenland,world rank  3611,"Campus 1
Eisenstadt
7000 Burgenland
Austria",+43 (5) 7705,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Österreichische Fachhochschul-Konferenz (FHK)
Mitglied von alumni-clubs.net e.V.","Fachhochschule Burgenland
|
Department of Business Studies Department of Information Technology and Information Management Department of Social Work Department of Energy and Environmental Management Department of Health","['library', 'housing', 'financial aid', 'distant learning', 'career services']"
3,Fachhochschule Campus Wien,world rank  4107,"Favoritenstrasse 226
Vienna
1100 Vienna
Austria",+43 (1) 606 68 77 6600,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,Österreichische Fachhochschul-Konferenz (FHK),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'distant learning']"
4,Fachhochschule der Diakonie,world rank  7756,"Grete-Reich-Weg 9
Bielefeld
33617 North Rhine-Westphalia
Germany",+49 (521) 144 2700,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
5,Fachhochschule der Wirtschaft,world rank  5067,"Fürstenallee 3-5
Paderborn
33102 North Rhine-Westphalia
Germany",+49 (5251) 301 02,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'distant learning']"
6,Fachhochschule des bfi Wien,world rank  4821,"Wohlmutstrasse 22
Vienna
1020 Vienna
Austria",+43 (1) 7201286 0,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,Österreichische Fachhochschul-Konferenz (FHK),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
7,Fachhochschule des Mittelstands,world rank  5075,"Ravensberger Strasse 10 G
Bielefeld
33602 North Rhine-Westphalia
Germany",+49 (521) 9 66 55 10,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
8,Fachhochschule Dortmund,world rank  2255,"Sonnnenstrasse 96-100
Dortmund
44139 North Rhine-Westphalia
Germany",+49 (231) 9112-0,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Deutscher Akademischer Austauschdienst (DAAD)
GATE Germany
World University Service (WUS)","Fachhochschule Dortmund
|
Faculty of Architecture Faculty of Design Faculty of Information Technology and Electrical Engineering Faculty of Computer Science Faculty of Mechanical Engineering Faculty of Applied Social Sciences Faculty of Business Studies","['library', 'sports facilities', 'distant learning']"
9,Fachhochschule Dresden,world rank  8897,"Güntzstrasse 1
Dresden
01069 Saxony
Germany",+49 (351) 44 45 400,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
