,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,Yadanabon University,world rank  12818,"Amarapura
Mandalay
Myanmar",+95,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
1,Yakin Dogu Üniversitesi,world rank  3296,"Yakin Dogu Bulvari
Lefkosía
99138 Northern Cyprus
Cyprus",+90 (392) 680 2000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"European University Association (EUA)
International Association of Universities (IAU)
International Society for Engineering Education (IGIP)
Joint Commission International (JCI)
Federation of the Universities of the Islamic World (FUIW)
Accreditation in Engineering Computer Sciences Natural Sciences Mathematics (ASIIN)
Foundation for International Business Administration Accreditation (FIBAA)","Yakin Dogu Üniversitesi
|
Faculty of Architecture Faculty of Arts and Sciences Faculty of Economics and Administrative Sciences Faculty of Engineering Faculty of Law Faculty of Medicine Faculty of Pharmacy Faculty of Dentistry Faculty of Veterinary Medicine Faculty of Health Sciences Ataturk Faculty of Education Faculty of Communication Faculty of Religious Studies Faculty of Fine Arts Vocational School School for Tourism and Hotel Management School of Physical Education and Sports Faculty of Performing Arts Faculty of Open and Distance Learning","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
2,Yakutsk State Academy of Agriculture,world rank  9416,"Priipodromnoe shosse 15
Yakutsk
677891 Sakha Republic
Russia",+7 (4112) 264 949,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
3,Yala Rajabhat University,world rank  4918,"133 Tesaban 3 Road, Mueang
Yala
95000 Yala
Thailand",+66 (73) 227 151,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
4,Yale University,world rank  14,"Woodbridge Hall
New Haven
06520 Connecticut
United States",+1 (203) 432 4771,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Engineering Accreditation Commission (EAC) of ABET
American Bar Association (ABA), Council of the Section of Legal Education and Admissions to the Bar","Associated Universities, Inc. (AUI)
Association of American Universities (AAU)
International Alliance of Research Universities (IARU)
Association of Universities for Research in Astronomy (AURA)
Ivy League
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
5,Yalova Üniversitesi,world rank  5115,"Çinarcik Yolu 3.km Merkez Kampüsü
Yalova
77200 Yalova
Turkey",+90 (226) 815 50 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
6,Yamagata Prefectural University of Health Sciences,world rank  7993,"Yamagata
Yamagata
Japan",+81 (23) 686 6611,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
7,Yamagata University,world rank  1418,"1-4-12 Kojirakawa-machi
Yamagata
990-8560 Yamagata
Japan",+81 (236) 28 4119,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Yamagata University
|
Faculty of Literature and Social Sciences Faculty of Education, Art and Science Faculty of Science Faculty of Medicine Faculty of Engineering Faculty of Agriculture Graduate School of Social and Cultural Systems Graduate School of Education Graduate School of Science Graduate School of Medicine Graduate School of Engineering Graduate School of Agricultural Sciences",['library']
8,Yamaguchi Gakugei College,world rank  10334,"Yamaguchi
Yamaguchi
Japan",+81,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
9,Yamaguchi Prefectural University,world rank  6154,"Yamaguchi
Yamaguchi
Japan",+81,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
