,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,C.D.A. College,world rank  11531,"2 Evagorou Avenue, Eleftherias Square, PO Box 21972
Nicosia
1515 Nicosia
Cyprus",+357 (22) 661 104,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
1,C.U. Shah University,world rank  11278,"Kothariya Village, Surendranagar - Ahmedabad Highway, University Road
Wadhwan
363 030 Gujarat
India",+91 (2752) 247 711,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","None, open admission policy",Private,Non-Profit,"All India Council of Technical Education (AICTE)
National Council for Teacher Eduction (NCTE)
Pharmacy Council of India (PCI)
Bar Council of India (BCI)","C.U. Shah University
|
Faculty of Technology and Engineering Faculty of Computer Science Faculty of Pharmaceutical Science Faculty of Management Studies Faculty of Social Works Faculty of Nursing Faculty of Commerce Faculty of Sciences and Life Sciences Faculty of Arts and Humanities Faculty of Law","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
2,Cabarrus College of Health Sciences,world rank  Un,"401 Medical Park Drive
Concord
28025-3959 North Carolina
United States",+1 (704) 403 1555,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,Not available; please submit a list of official affiliations and memberships to relevant associations and organizations.,['Not reported']
3,Cabrini University,world rank  3532,"610 King of Prussia Road
Radnor
19087-3698 Pennsylvania
United States",+1 (610) 902 8100,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Accreditation Council for Business Schools and Programs (ACBSP)
Council on Social Work Education (CSWE)","Council of Independent Colleges (CIC)
Association of Catholic Colleges and Universities (ACCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
4,Çag Üniversitesi,world rank  6560,"Adana-Mersin D 400 Karayolu Üzeri, Yenice-Tarsus
Yenice
33800 Mersin
Turkey",+90 (324) 651 4800,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
5,Cagayan State University,world rank  9996,"Bagay Road, Caritan Sur
Tuguegarao City
3500 Cagayan Valley
Philippines",+63 (78) 844 0098,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"Philippine Council for Agriculture, Aquatic, and Natural Resources Research and Development (PCARRD)","Cagayan State University
|
College of Agriculture College of Allied Health and Sciences College of Business Entrepreneurship and Accountancy College of Teacher Education College of Engineering College of Fisheries College of Information and Computing Sciences College of Hospitality Management College of Human Kinetics College of Law College of Medicine College of Public Administration College of Industrial Technology College of Veterinary Medicine","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
6,Cairn University,world rank  4720,"200 Manor Avenue
Langhorne
19047-2990 Pennsylvania
United States",+1 (215) 752 5800,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Association for Biblical Higher Education (ABHE), Commission on Accreditation
Council on Social Work Education (CSWE)
National Association of Schools of Music (NASM)
Association of Christian Schools International (ACSI)","International Assembly for Collegiate Business Education (IACBE)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)
National Christian College Athletic Association (NCCAA)",['Not reported']
7,Cairo University,world rank  1060,"5th Ahmed Zewail st. (Tharwat st.) - Dokki
Giza
12613 Giza
Egypt",+20 (2) 3335 5356,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"Supreme Council of Universities (SCU)
Federation of the Universities of the Islamic World (FUIW)","Cairo University
|
Faculty of Engineering Faculty of Medicine Faculty of Computers and Information System Faculty of Pharmacology Faculty of Agriculture Faculty of Science Faculty of Economics and Political Science Faculty of Mass Communication Faculty of Archaeology Faculty of Arts Faculty of Commerce Faculty of Specialized Education Faculty of Nursing Faculty of Law Faculty of Physiotherapy Faculty of Oral and Dental Medicine Faculty of Veterinary Medicine Faculty of Dar El-Ulum Faculty of Kindergarten Statistical Studies and Research Institute African Studies and Research Institutes National Cancer Institute Faculty of Regional and Urban Planning Institute of Educational Studies and Research National Institute of Laser Enhanced Sciences Center of Open Education Cairo Center for Languages and Arabic Culture","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
8,Caldwell University,world rank  3448,"120 Bloomfield Avenue
Caldwell
07006-6195 New Jersey
United States",+1 (973) 618 3000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Teacher Education Accreditation Council (TEAC)
Council for the Accreditation of Education Preparation (CAEP)
Accreditation Council for Business Schools and programs (ACBSP)
Council for Accreditation of Counseling and Related Education Programs (CACREP)
Commission on Collegiate Nursing Education (CCNE)
Association for Behavior Analysis International (ABAI)","Council of Independent Colleges (CIC)
Association of Catholic Colleges and Universities (ACCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
9,Caleb University,world rank  10279,"Ikorodu
Imota
Lagos
Nigeria",+234 (1) 291 0684,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
