,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,S. Toraighyrov Pavlodar State University,world rank  4172,"Lomova str., 64
Pavlodar
140008 Pavlodar Region
Kazakhstan",+7 (7182) 67-36-85,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,"International Association for the Exchange of Students for Technical Experience (IAESTE)
Association Siberian Open University
Central Asian Foundation for Management Development (CAMAN)","S. Toraighyrov Pavlodar State University
|
Faculty of Chemical Technology and Natural Sciences Faculty of Energy Faculty of Architecture and Construction Faculty of Metallurgy, Machine Building and Transport Faculty of Physics, Mathematics and Information Technologies Faculty of Humanities and Education Faculty of Finance and Economics Faculty of Agriculture Technology Faculty of pre-University Training and Vocational Guidance","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
1,Saba University,world rank  11873,"PO Box 14400
Sana'a
Sanaa
Yemen",+967 (1) 205 749,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Saba University
|
Faculty of Medicine and Medical Sciences Faculty of Engineering Faculty of Law Faculty of Administrative Sciences and Humanities Faculty of Computer and Information Technology",['library']
2,Sabanci Üniversitesi,world rank  1264,"Sabanci Üniversite Orta Mah. Üniversite Caddesi No:27, Orhanli Tuzla
Istanbul
34956 Istanbul
Turkey",+90 (216) 483 9000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
3,Sabaragamuwa University of Sri Lanka,world rank  7893,"PO Box 02
Belihuloya
70140 Sabaragamuwa
Sri Lanka",+94 (45) 228 0014,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,Association of Commonwealth Universities (ACU),"Sabaragamuwa University of Sri Lanka
|
Faculty of Agricultural Sciences Faculty of Applied Sciences Faculty of Geomatics Faculty of Management Studies Faculty of Social Sciences and Languages","['library', 'sports facilities', 'distant learning']"
4,Sabarmati University,world rank  10803,"Sardar Patel Ring Road, Ognaj
Ahmedabad
382 481 Gujarat
India",+91 9081911124,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
5,Saber Institute of Higher Education,world rank  13043,"Kabul
Kabul
Afghanistan",+93 (20) 240 5079,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
6,Sabratha University,world rank  12861,"Sabratha
Tripolitania
Libya",+218,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
7,Sabzevar University of Medical Sciences,world rank  7102,"Asadabadi St.
Sabzevar
Razavi Khorasan
Iran",+98,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
8,Sabzevar University of New Technologies,world rank  12641,"Sabzevar
Razavi Khorasan
Iran",+98,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
9,Sacred Heart College,world rank  11216,"1 Merchan
Lucena City
4301 Calabarzon
Philippines",+63 (42) 373 6167,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
10,Sacred Heart University,world rank  1415,"5151 Park Avenue
Fairfield
06825-1000 Connecticut
United States",+1 (203) 371 7999,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
American Occupational Therapy Association (AOTA), Accreditation Council for Occupational Therapy Education (ACOTE)
American Physical Therapy Association (APTA)
Association to Advance Collegiate Schools of Business (AACSB International)","International Federation of Catholic Universities (IFCU)
Council of Independent Colleges (CIC)
Association of Catholic Colleges and Universities (ACCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
11,Sadat Institute of Higher Education,world rank  Un,"Mazar-i-Sharif
Balkh
Afghanistan",+93 (78) 111 2112,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
12,Sadjad University of Technology,world rank  5580,"No. 64 Jalal Al Ahmad Street
Mashhad
91881-48848 Razavi Khorasan
Iran",+98 (51) 3602 9000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,Federation of the Universities of the Islamic World (FUIW),"Sadjad University of Technology
|
Faculty of Electronic and Biomedical Engineering Faculty of Mechanical Engineering Faculty of Computer and Information Technology Faculty of Industrial Engineering Faculty of Civil Engineering","['library', 'housing', 'sports facilities', 'financial aid']"
13,Saga University,world rank  1958,"1 Honjo-machi
Saga
840-8502 Saga
Japan",+81 (952) 28 8168,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
14,Sagaing University,world rank  Un,"Sagaing
Sagaing
Myanmar",+95,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
15,Sagaing University of Education,world rank  Un,"Sagaing
Sagaing
Myanmar",+95 9 961 518475,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
16,Sagami Women's University,world rank  5142,"2-1-1 Buhkyo
Sagamihara
228-8533 Kanagawa
Japan",+81 (42) 742 1411,Women Only,"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
17,Sage University,world rank  9306,"Kailod Kartal, Indore-Dewas By-Pass Road
Indore
452 020 Madhya Pradesh
India",+91 (731) 290 6986,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
18,Saginaw Valley State University,world rank  2107,"7400 Bay Road
University Center
48710-0001 Michigan
United States",+1 (989) 964 4000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Engineering Accreditation Commission (EAC) of ABET
American Chemical Society (ACS)","American Association of State Colleges and Universities (AASCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
19,Saglik Bilimleri Üniversitesi,world rank  7461,"Mekteb-i Tibbiye-i Sahane (Haydarpasa) Külliyesi, Selimiye Mah. Tibbiye Cad. No:38, ÜSKÜDAR
Istanbul
34668 Istanbul
Turkey",+90 (216) 346 3636,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
20,Sahand University of Technology,world rank  6084,"PO Box 51335-1996
Sahand Town
East Azerbaijan
Iran",+98 (412) 3458108,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Sahand University of Technology
|
Faculty of Basic Sciences for Engineering Faculty of Chemical Engineering Faculty of Civil Engineering Faculty of Electrical Engineering Faculty of Materials Engineering Faculty of Mechanical Engineering Faculty of Mining Engineering Faculty of Polymer Engineering","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
21,Sahmyook University,world rank  7303,"26-21 Gongneung 2-dong, Nowon-gu
Seoul
139-742 Seoul
South Korea",+82 (2) 3399 3636,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'financial aid']"
22,Sai Nath University,world rank  11197,"Chandway-Kuchu Road, Jirawar, Ormanjhi
Ranchi
835 219 Jharkhand
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
23,Sai Tirupati University,world rank  13004,"Ambua Road, Village Umarda, Tehsil Girwa
Udaipur
313 003 Rajasthan
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
24,Saigon International University,world rank  9920,"8C, 16, 18 Tong Huu Dinh, Thao Dien Ward, Dist. 2
Ho Chi Minh City
Southeast Region
Vietnam",+84 (28) 5409 3930,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,For-Profit,"AACSB International
International Accreditation Council for Business Education (IACBE)","Saigon International University
|
Faculty of Business and Law Faculty of Foreign Languages Faculty of Information Technology","['library', 'sports facilities', 'financial aid', 'career services']"
25,Saigon University,world rank  8391,"273 An Duong Vuong, District 5
Ho Chi Minh City
Southeast Region
Vietnam",+84 (8) 3835 4409,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
26,Saint Andrew the First-Called Georgian University,world rank  9681,"53a Ilia Chavchavadze Avenue
Tbilisi
0162 Tbilisi
Georgia",+995 (32) 225 8146,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
27,Saint Anselm College,world rank  1616,"100 Saint Anselm Drive
Manchester
03102-1310 New Hampshire
United States",+1 (603) 641 7000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
American Chemical Society (ACS)","Council of Independent Colleges (CIC)
Association of Catholic Colleges and Universities (ACCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
28,Saint Anthony College of Nursing,world rank  Un,"3301 N. Mulford Road
Rockford
61108-2468 Illinois
United States",+1 (815) 282 7900,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,OSF Healthcare,['Not reported']
29,Saint Augustine College,world rank  7633,"1333-45 W. Argyle Street
Chicago
60640-3593 Illinois
United States",+1 (773) 878 8756,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","None, open admission policy",Private,Non-Profit,no-data,Not available; please submit a list of official affiliations and memberships to relevant associations and organizations.,['Not reported']
30,Saint Augustine's University,world rank  4205,"1315 Oakwood Avenue
Raleigh
27610-2298 North Carolina
United States",+1 (919) 516 4000,Men and Women (coed),Historically Black Institution,"Yes, international applicants are welcome to apply for admission",Private,Non-Profit,Council for the Accreditation of Educator Preparation (CAEP),"Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
31,Saint Elizabeth University,world rank  4447,"2 Convent Road
Morristown
07960-6989 New Jersey
United States",+1 (973) 290 4000,Women Only,"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"American Dietetic Association, Commission on Accreditation for Dietetics Education (CADE)
National League for Nursing Accrediting Commission (NLNAC)","Council of Independent Colleges (CIC)
Association of Catholic Colleges and Universities (ACCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
32,Saint Francis Medical Center College of Nursing,world rank  Un,"511 NE Greenleaf Street
Peoria
61603-3783 Illinois
United States",+1 (309) 655 2201,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Non-Profit,National League for Nursing Accrediting Commission (NLNAC),"OSF Healthcare
Association of Catholic Colleges and Universities (ACCU)
American Association of Colleges of Nursing (AACN)
American Association of Collegiate Registrars and Admissions Officers (AACRAO)
American College Health Association (ACHA)",['Not reported']
33,Saint Francis University,world rank  2940,"117 Evergreen Drive
Loretto
15940 Pennsylvania
United States",+1 (814) 472 3000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Accreditation Council for Occupational Therapy Education (ACOTE)
Accreditation Review Commission on Education for the Physician Assistant, Inc. (ARC-PA)
Commission on Accreditation in Physical Therapy Education (CAPTE)
Engineering Accreditation Commission (EAC) of ABET","Council of Independent Colleges (CIC)
Association of Franciscan Colleges and Universities (AFCU)
International Assembly for Collegiate Business Education (IACBE)
Association of Catholic Colleges and Universities (ACCU)
Council for International Educational Exchange (CIEE)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
34,Saint James School of Medicine,world rank  7624,"Albert Lake Drive
The Quarter
A-1 2640
Anguilla",+1 800 542 1553,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
35,Saint John's University,world rank  12366,"1110/5 Vibhavadi-Rangsit Road, Chatuchak
Bangkok
10900 Bangkok
Thailand",+66 (2) 938 7058 65,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,International Federation of Catholic Universities (IFCU),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
36,Saint Joseph Institute of Technology,world rank  12639,"Montilla Boulevard Corner Rosales Street
Butuan City
8600 Caraga Region
Philippines",+63 (85) 342 5694,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
37,Saint Joseph's College of Maine,world rank  3644,"278 Whites Bridge Road
Standish
04084-5263 Maine
United States",+1 (207) 892 6766,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,"Council of Independent Colleges (CIC)
Association of Catholic Colleges and Universities (ACCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
38,Saint Joseph's University,world rank  1224,"5600 City Avenue
Philadelphia
19131-1395 Pennsylvania
United States",+1 (610) 660 1000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
American Chemical Society (ACS)","Association of Jesuit Colleges and Universities (AJCU)
Association of Catholic Colleges and Universities (ACCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
39,Saint Jude College,world rank  12372,"Don Quijote Cor. Dimasalang Street, Sampaloc
Manila
1008 National Capital Region
Philippines",+63 (2) 731 4244,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
