,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,A.T. Still University,world rank  3029,"800 W Jefferson Street
Kirksville
63501-1497 Missouri
United States",+1 (660) 626 2121,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"American Dental Association (ADA), Commission on Dental Accreditation
American Osteopathic Association (AOA), Commission on Osteopathic College Accreditation",Not available; please submit a list of official affiliations and memberships to relevant associations and organizations.,['Not reported']
1,Aalborg Universitet,world rank  493,"Fredrik Bajers Vej 7K
Ålborg
9220 North Denmark Region
Denmark",+45 9940 9940,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"European University Association (EUA)
Conference of European Schools for Advanced Engineering Education and Research (CESAER)
European Consortium of Innovative Universities (ECIU)","Aalborg Universitet
|
Faculty of Engineering and Science Faculty of Humanities Faculty of Social Sciences Faculty of Medicine","['library', 'sports facilities', 'distant learning']"
2,Aalto-yliopisto,world rank  272,"PL 11000; Otakaari 1B
Espoo
00076 Uusimaa
Finland",+358 (9) 470 01,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"European University Association (EUA)
Conference of European Schools for Advanced Engineering Education and Research (CESAER)
Consortium Linking Universities of Science and Technology for Education and Research (CLUSTER)
Ge4 Network (GE4)
Technology Innovation International (TII)
Top Industrial Managers for Europe (TIME)
Société Européenne pour la Formation des Ingénieurs (SEFI)
European Council of Landscape Architecture Schools (ECLAS)
European Association for International Education (EAIE)
Global Alliance in Management Education (CEMS)
European University Continuing Education Network (EUCEN)","Aalto-yliopisto
|
School of Arts, Design and Architecture School of Chemical Technology School of Business School of Electrical Engineering School of Engineering School of Science","['library', 'sports facilities']"
3,Aarhus Universitet,world rank  227,"Nordre Ringgade 1
Aarhus
8000 Central Denmark Region
Denmark",+45 8942 1111,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"European University Association (EUA)
Utrecht Network
Coimbra Group
EuroScience
GUILD","Aarhus Universitet
|
Faculty of Arts Faculty of Science and Technology Faculty of Health School of Business and Social Sciences","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
4,Aba Teachers University,world rank  11535,"Aba
623002 Sichuan
China",+86 (28) 6233 2000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
5,Abasyn University,world rank  9830,"Ring Road, Charsadda Link
Peshawar
25000 Khyber Pakhtunkhwa
Pakistan",+92 (91) 258 2996,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,For-Profit,no-data,"Abasyn University
|
Faculty of Social Sciences Faculty of Life Sciences Faculty of Engineering and Computing","['library', 'sports facilities', 'financial aid', 'career services']"
6,Abbottabad University of Science and Technology,world rank  11986,"Captain Akaash Rabbani Shaheed Road, Tehsil Havelian
Abbottabad
Khyber Pakhtunkhwa
Pakistan",+92 (992) 402 117,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Abbottabad University of Science and Technology
|
Department of Information Technology Department of Pharmaceutical Sciences Department of Pakistan Studies Department of Management Science Department of Microbiology Department of Mathematics Department of English Department of Economics",['Not reported']
7,Abdul Wali Khan University Mardan,world rank  8318,"Toro Road Near sheikh Maltoon Town
Mardan
23200 Khyber Pakhtunkhwa
Pakistan",+92 (937) 923 0640,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,no-data,"Abdul Wali Khan University Mardan
|
Faculty of Arts and Humanities Faculty of Business and Economics Faculty of Chemical and Life Sciences Faculty of Physical and Numerical Sciences Faculty of Social Sciences","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
8,Abdullah Gül Üniversitesi,world rank  6087,"Barbaros Mahallesi Sümer Kampüsü Kocasinan
Kayseri
38080 Kayseri
Turkey",+90 (352) 224 8800,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,no-data,"Abdullah Gül Üniversitesi
|
School of Engineering School of Architecture School of Leadership and Management School of Life and Natural Sciences School of Humanities and Social Sciences","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
9,Abdulrahman Al-Sumait Memorial University,world rank  12074,"PO Box 1933
Zanzibar City
Mjini Magharibi
Tanzania",+255 (24) 224 2101,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Non-Profit,"The Consortium of Tanzania Universities Libraries and Research Libraries (COTUL)
Tanzania Education and Research Network (TERNET)","Abdulrahman Al-Sumait Memorial University
|
Faculty of Education Faculty of Science Faculty of Arts and Social Studies Faculty of Islamic Studies and Shari'ah","['library', 'housing', 'sports facilities', 'financial aid']"
10,Abertay University,world rank  1626,"Bell Street
Dundee
DD1 1HG Scotland
United Kingdom",+44 (1382) 308 000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Association of Commonwealth Universities (ACU)
European University Association (EUA)
MillionPlus
Universities UK","Abertay University
|
School of Design and Informatics School of Contemporary Sciences Dundee Business School School of Social and Health Sciences","['library', 'sports facilities', 'financial aid']"
11,Aberystwyth University,world rank  734,"Penglais Campus
Aberystwyth
SY23 3FL Wales
United Kingdom",+44 (1970) 623 111,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Association of Commonwealth Universities (ACU)
Universities UK
University Alliance","Aberystwyth University
|
Department of Art Department of Biological Sciences Institute of Biological, Environmental and Rural Sciences Department of Computer Science School of Education and Lifelong Learning Department of English and Creative Writing Department of European Languages Institute of Geography and Earth Sciences Department of History and Welsh History Department of Information Studies Department of International Politics Department of Law and Criminology School of Management and Business Institute of Mathematics and Physics Department of Psychology Institute of Rural Sciences Department of Sport and Exercise Science Department of Theatre, Film and Television Studies Department of Welsh","['library', 'housing', 'sports facilities', 'financial aid']"
12,Abhilashi University,world rank  11988,"Chachyot
Chailchowk
175 028 Himachal Pradesh
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Not reported,no-data,"Abhilashi University
|
Faculty of Science Faculty of Ayurveda Faculty of Engineering and Management Faculty of Pharmacy Faculty of Humanities Faculty of Law",['library']
13,Abia State University,world rank  9476,"Private Mailbox 2000
Uturu
Abia
Nigeria",+234 (82) 442101,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,Association of African Universities (AAU),"Abia State University
|
Faculty of Agriculture Faculty of Humanities and Social Science Faculty of Business Administration Faculty of Biological Science Faculty of Education Faculty of Engineering and Environmental Science Faculty of Medicine Faculty of Law School of Optometry",['library']
14,Abilene Christian University,world rank  1353,"1600 Campus Court
Abilene
79699 Texas
United States",+1 (325) 674 2000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Computing Accreditation Commission (CAC) of ABET
Accrediting Council on Education in Journalism and Mass Communications (ACEJMC)
American Chemical Society (ACS)
Engineering Accreditation Commission (EAC) of ABET","Council for Christian Colleges and Universities (CCCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
15,ABM University College,world rank  11155,"Plot 38796, Lephala Road Block 6; Private Bag 00331
Gaborone
Gaborone
Botswana",+267 395 6887,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
16,Åbo Akademi,world rank  1236,"Domkyrkotorget 3
Turku
20500 Southwest Finland
Finland",+358 (2) 215 31,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"European University Association (EUA)
Coimbra Group","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'distant learning']"
17,Abourihan Higher Education Institute,world rank  13167,"Karte 4
Kabul
Kabul
Afghanistan",+93 (20) 251 1551,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
18,Abra State Institute of Science and Technology,world rank  12696,"Lagangilang
2802 Cordillera Administrative Region
Philippines",+63 (74) 752 8171,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
19,Abraham Baldwin Agricultural College,world rank  4473,"2802 Moore Highway
Tifton
31793-2601 Georgia
United States",+1 (229) 391 5001,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,no-data,"University System of Georgia
National Athletic Association (NAA)
National Junior College Athletic Association (NJCAA)",['Not reported']
20,Abrar University,world rank  10503,"Mogadishu
Banadir
Somalia",+252,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Not reported,"Association of Somali Universities (ASU)
Association of African Universities (AAU)","Abrar University
|
College of Economics and Management Science College of Agricultural Science College of Veterinary Medicine College of Engineering and Technology College of Medicine and Health Science","['library', 'sports facilities', 'financial aid']"
21,Abu Ali ibn Sino nomidagi Buxoro Davlat Tibbiyot Instituti,world rank  9538,"1 Navoi Street
Bukhara
200118 Bukhara
Uzbekistan",+998 (365) 223 0050,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Abu Ali ibn Sino nomidagi Buxoro Davlat Tibbiyot Instituti
|
Faculty of General Medicine Medical-Pedagogical Faculty Faculty of Nursing Faculty of Preventive Medicine, Faculty of Dentistry Faculty of Medical biology Faculty of Pediatrics","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
22,Abu Dhabi Polytechnic,world rank  11429,"PO Box 111499
Abu Dhabi
Abu Dhabi
United Arab Emirates",+971 (2) 695 1062,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
23,Abu Dhabi School of Management,world rank  11141,"Salam St. & 31 St.; PO Box 6844
Abu Dhabi
Abu Dhabi
United Arab Emirates",+971 (2) 691 7811,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'financial aid', 'career services']"
24,Abu Dhabi University,world rank  5326,"Khalifa city A
Abu Dhabi
59911 Abu Dhabi
United Arab Emirates",+971 (2) 501 5555,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,For-Profit,no-data,"Abu Dhabi University
|
College of Arts and Sciences College of Business Administration College of Engineering and Computer Science","['library', 'sports facilities', 'financial aid']"
25,Abubakar Tafawa Balewa University,world rank  8977,"Private Mailbox 0248
Bauchi
740004 Bauchi
Nigeria",+234 (77) 543500,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Association of Commonwealth Universities (ACU)
Association of African Universities (AAU)","Abubakar Tafawa Balewa University
|
School of Agriculture and Agricultural Technology School of Engineering and Engineering Technology School of Environmental Technology School of Management Technology School of Postgraduate Studies School of Science and Science Education School of","['library', 'sports facilities']"
26,Academia de Muzica Gheorghe Dima,world rank  8503,"Strada Ion I.C. Bratianu 25
Cluj-Napoca
400079 Cluj
Romania",+40 (264) 593 879,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,"European University Association (EUA)
Association Européenne des Conservatoires, Académies de Musique et Musikhochschulen (AEC)","Academia de Muzica Gheorghe Dima
|
Faculty of Musical Performance Faculty of Theoretical Studies","['library', 'housing', 'financial aid', 'distant learning']"
27,"Academia de Muzica, Teatru si Arte Plastice",world rank  9736,"str. A. Mateevici 111
Chisinau
2009 Chisinau
Moldova",+373 (22) 240 213,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Academia de Muzica, Teatru si Arte Plastice
|
Faculty of Music Art Faculty of Theatre, Coregraphy and Multimedia Faculty of Fine Arts","['library', 'housing', 'sports facilities']"
28,Academia de Studii Economice din Bucuresti,world rank  1435,"Piata Romana 6, Sector 1
Bucharest
010374 Bucharest
Romania",+40 (21) 319 1900,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,European University Association (EUA),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
