,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,O.M. Beketov National University of Urban Economy in Kharkiv,world rank  4353,"Marshal Bazhanov Street, 17
Kharkiv
61002 Kharkiv Oblast
Ukraine",+380 (57) 707 3109,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,International Association of Universities (IAU),"O.M. Beketov National University of Urban Economy in Kharkiv
|
Faculty of Architecture, Design and Fine Arts Faculty of Management Faculty of Transport Systems and Technologies Economics and Entrepreneurship Faculty Urban Energy Supply and Lighting Faculty Building Faculty Faculty of Urban Environmental Engineering Faculty for Foreign Students","['library', 'housing', 'sports facilities', 'distant learning']"
1,O.O. Bogomolets National Medical University,world rank  3784,"Tarasa Shevchenko Boulevard, 13/7
Kyiv
01601 Kiev Oblast
Ukraine",+380 (44) 234 9901,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
2,O.P. Jindal Global University,world rank  5509,"Sonipat Narela Road, Near Jagdishpur Village
Sonipat
131 001 Haryana
India",+91 (130) 305 7800,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
3,O.P. Jindal University,world rank  10708,"Punjipathra
Raigarh
496 109 Chhattisgarh
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
4,Oak Hills Christian College,world rank  6692,"1600 Oak Hills Road SW
Bemidji
56601-8834 Minnesota
United States",+1 (218) 751 8670,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,National Athletic Association (NAA),['Not reported']
5,OAK University,world rank  13156,"Makishi Road
Lusaka
Lusaka
Zambia",+260 975 907 678,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
6,Oakland City University,world rank  4751,"138 N Lucretia Street
Oakland City
47660-1099 Indiana
United States",+1 (800) 737 5125,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,"International Assembly for Collegiate Business Education (IACBE)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)
National Christian College Athletic Association (NCCAA)",['Not reported']
7,Oakland University,world rank  765,"2200 North Squirrel Road
Rochester
48309-4401 Michigan
United States",+1 (248) 370 2100,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Applied and Natural Science Accreditation Commission (ANSAC) of ABET
Engineering Accreditation Commission (EAC) of ABET
Computing Accreditation Commission (CAC) of ABET
Council on Accreditation of Nurse Anesthesia Educational Programs (AANA)","American Association of State Colleges and Universities (AASCU)
Association of Public and Land-Grant Universities (APLU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
8,Oakwood University,world rank  3426,"7000 Adventist Boulevard NW
Huntsville
35896 Alabama
United States",+1 (256) 726 7000,Men and Women (coed),Historically Black Institution,"Yes, international applicants are welcome to apply for admission",Private,Non-Profit,"Accreditation Council for Business Schools and Programs (ACBSP)
American Dietetic Association, Commission on Accreditation for Dietetics Education (CADE)
Council on Social Work Education (CSWE)","Council of Independent Colleges (CIC)
United States Collegiate Athletic Association (USCAA)
National Athletic Association (NAA)
National Small College Athletic Association (NSCAA)",['Not reported']
9,Obafemi Awolowo University,world rank  4384,"Ile-Ife
Osun
Nigeria",+234 (36) 230 290,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,Association of Commonwealth Universities (ACU),"Obafemi Awolowo University
|
Faculty of Administration Faculty of Agriculture Faculty of Arts Faculty of Basic Medical Sciences Faculty of Clinical Sciences Faculty of Dentistry Faculty of Education Faculty of Environmental Design and Management Faculty of Law Faculty of Pharmacy","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
