,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,Ta Hwa University of Science and Technology,world rank  8921,"No. 1, Dahua Road, Qionglin District
Qionglin
307 Hsinchu County
Taiwan",+886 (3) 592 7700,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Ta Hwa University of Science and Technology
|
College of Business and Management College of Engineering and Design College of Living and Health Technology",['Not reported']
1,Tabesh University,world rank  12284,"Kabul
Kabul
Afghanistan",+93 (79) 972 2722,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
2,Tabor College,world rank  3905,"400 S Jefferson
Hillsboro
67063-1799 Kansas
United States",+1 (620) 947 3121,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,Kansas State Department Board of Education (KSDE),"Council for Christian Colleges and Universities (CCCU)
Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Association of Intercollegiate Athletics (NAIA)",['Not reported']
3,Tabriz Islamic Art University,world rank  8277,"Tabriz
East Azerbaijan
Iran",+98 (411) 5421733,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
4,Tabriz University of Medical Sciences,world rank  2812,"Daneshgah Street
Tabriz
51664 East Azerbaijan
Iran",+98 (411) 334 6147,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Tabriz University of Medical Sciences
|
Faculty of Medicine Faculty of Pharmacy Faculty of Dentistry Faculty of Health and Nutrition Faculty of Nursery and Midwifery Faculty of Paramedicine Faculty of Rehabilitation Maragheh Faculty of Nursery and Midwifery","['library', 'sports facilities']"
5,Tafila Technical University,world rank  8051,"PO Box 179
Tafilah
66110 Tafilah
Jordan",+962 (3) 225 0326,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,Association of Arab Universities (AArU),"Tafila Technical University
|
Faculty of Science Faculty of Engineering Faculty of Arts Faculty of Educational Science Faculty of Business","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
6,Tafresh University,world rank  10635,"Tafresh
Markazi
Iran",+98,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
7,Tai Solarin University of Education,world rank  9377,"Private Mailbox 2118
Ijebu-Ode
120001 Ogun
Nigeria",+234 (816) 469 6001,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Tai Solarin University of Education
|
College of Humanities College of Science and Information Technology College of Applied Education and Vocational Technologies College of Social and Management Sciences","['library', 'sports facilities', 'financial aid']"
8,Taibah University,world rank  2478,"Al-Jammiatt Avenue
Medina
30001 Al Madinah
Saudi Arabia",+966 (4) 846 0008,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Taibah University
|
College of Medicine Rehabilitation Sciences College of Applied Medical Sciences College of Pharmacy College of Dentistry College of Medicine College of Law College of Business Administration College of Applied Medical Sciences, AL-Ola College of Engineering College of Computer Science and Engineering College of Science College of Education College of Arts and Humanities College of Arts and Humanities, Yanbu College of Applied Science College of Community Services College of Health Sciences College of Family Sciences College of Sciences, Yanbu College of Engineering, Yanbu College of Science and Computer Engineering, Yanbu College of Applied Medical Sciences, Yanbu College of Business Administration, Yanbu College of Science and Arts, Al-Ola","['library', 'financial aid', 'distant learning']"
9,Taideyliopisto,world rank  1997,"PL 1
Helsinki
00097 Uusimaa
Finland",+358 (294) 47 2000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Taideyliopisto
|
Academy of Fine Arts Sibelius Academy Theatre Academy",['library']
10,Taif University,world rank  2756,"PO Box 888
Taif
21974 Makkah
Saudi Arabia",+966,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
11,Tainan National University of the Arts,world rank  5846,"No. 66, Daci Village, Guantian District
Tainan City
72045 Tainan
Taiwan",+886 (6) 693 0100,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Tainan National University of the Arts
|
College of Music Graduate Institute of Ethnomusicology Graduate Institute of Collaborative Piano College of Visual Arts Graduate Institute of Plastic Arts Graduate Institute of Applied Arts;Graduate Institute of Architecture College of Sound and Image Arts;Graduate Institute of Studies in Documentary and Film Archiving Graduate Institute of Animation and Film Art College of Letters and Cultural Heritage Graduate Institute of Conservation of Cultural Relics and Museology","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
12,Tainan University of Technology,world rank  6240,"No. 529, Zhongzheng Road, Yongkang District
Tainan City
71002 Tainan
Taiwan",+886 (6) 253 2106,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Tainan University of Technology
|
Life Science and Technology College Design School Tourism Academy School of Management Art Institute",['library']
13,Taipei City University of Science and Technology,world rank  8275,"No. 2, Xueyuan Road, Beitou
Taipei City
112 Taipei
Taiwan",+886 (2) 2892 7154,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Taipei City University of Science and Technology
|
College of Engineering College of Business and Management College of Human Ecology",['Not reported']
14,Taipei Medical University,world rank  2479,"No. 250, Wuxing Street, Xinyi District
Taipei City
11031 Taipei
Taiwan",+886 (2) 2736 1661,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Joint Private Medical Universities Admissions System (JPMAS)
Open Education Consortium (OEC)
University System of Taipei (UST)
Excellent Long-Established University Consortium of Taiwan (ELECT)","Taipei Medical University
|
College of Medicine College of Oral Medicine College of Pharmacy College of Nursing College of Public Health College of Medical Science and Technology College of Humanities and Social Sciences College of Management College of Biomedical Engineering College of Nutrition College of Interdisciplinary Studies","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
15,Taipei National University of the Arts,world rank  3952,"No. 1, Hsueh-Yuan Road, Peitou District
Taipei City
11201 Taipei
Taiwan",+886 (2) 2896 1000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Taipei National University of the Arts
|
School of Music School of Fine Arts School of Theatre Arts School of Dance School of Film and New Media School of Culture Resources","['library', 'sports facilities']"
16,Taipei University of Maritime Technology,world rank  8353,"No. 150, Section 3, Binhai Road, Tamsui District
Taipei City
11174 Taipei
Taiwan",+886 (2) 2805 2088,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Taipei University of Maritime Technology
|
College of Shipping and Trade College of Human Ecology College of Electrical Engineering and Computer Science",['Not reported']
17,Taisei Gakuin University,world rank  8284,"Sakai
Osaka
Japan",+81,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
18,Taishan University,world rank  10360,"Tai'an
Shandong
China",+86,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
19,Taisho University,world rank  4697,"3-20-1 Nishisugamo, Toshima-ku
Tokyo
170-8470 Tokyo
Japan",+81 (3) 3918 7311,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
20,Taita Taveta University,world rank  11780,"PO Box 635-80300
Voi
80300 Taita-Taveta
Kenya",+254 (662) 322 234,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,no-data,"Taita Taveta University
|
School of Mines and Engineering School of Business, Economics and Social Sciences School of Science and Informatics School of Agriculture, Earth and Enviromental Sciences","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
21,Taiwan Hospitality and Tourism University,world rank  9407,"No. 268, Zhongxing Street, Feng-Shan Village
Shoufeng
974 Hualien County
Taiwan",+886 (3) 865 3906 ext.204,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Taiwan Hospitality and Tourism University
|
Department of Chinese Culinary Arts Department of Food and Beverage Management Department of Hotel Management Department of Leisure Management Department of Tourism Management Department of Travel Management Department of Western Culinary Arts",['library']
22,Taiwan Shoufu University,world rank  8645,"No. 168, Nanshih Li, Madou District
Tainan City
721 Tainan
Taiwan",+886 (6) 571 8888,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Taiwan Shoufu University
|
College of Education and Design College of Leisure Industry College of Hotel Management",['library']
23,Taiyuan Institute of Technology,world rank  10131,"Yingxin North 1st Alley, Jiancaoping
Taiyuan
030008 Shanxi
China",+86 (351) 356 6078,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
24,Taiyuan Normal University,world rank  6832,"Taiyuan
Shanxi
China",+86,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
25,Taiyuan University,world rank  Un,"Taiyuan
Shanxi
China",+86,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
