,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,V. N. Karazin Kharkiv National University,world rank  2829,"4 Svobody Sq.
Kharkiv
61022 Kharkiv Oblast
Ukraine",+380 (57) 707 5500,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,"Magna Charta Universitatum Observatory (MCUO)
International Association of Universities (IAU)
European University Association (EUA)
European Nuclear Education Network (ENEN)
European Fusion Education Network (FUSENET)","V. N. Karazin Kharkiv National University
|
School of Biology School of Chemistry School of Computer Sciences School of Ecology School of Economics School of Foreign Languages School of Geology, Geography, Recreation and Tourism School of History School of International Economic Relations and Travel Business School of Law School Mathematics and Computer Sciences School of Medicine School of Philology School of Philosophy School of Physics School of Physics and Energy School of Physics and Technology School of Psychology School of Radiophysics, Biomedical Electronics and Computer Systems School of Sociology Karazin Business School Institute of Postgraduate Education and Distance Learning Institute of International Education for study and Research","['library', 'housing', 'sports facilities', 'distant learning', 'career services']"
1,V. Sarajishvili Tbilisi State Conservatoire,world rank  9802,"8-10 Griboedov st.
Tbilisi
0108 Tbilisi
Georgia",+995 (32) 299 91 44,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
2,V.I. Vernadsky Crimean Federal University,world rank  3512,"4 Vernadskogo Street
Simferopol
295007 Autonomous Republic of Crimea
Ukraine",+380 (652) 545 036,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"V.I. Vernadsky Crimean Federal University
|
College of Construction, Architecture and Design Humanities and Education Science Academy Institute of Social Sciences Institute of Pedagogical Education and Management Agricultural College Economics and Humanities Institute College of Hydraulic Land Reclamation and Agricultural Mechanization",['library']
3,V.I. Vernadsky Taurida National University,world rank  5229,"Ivana Kudri Street, 33
Kyiv
01042 Kiev Oblast
Ukraine",+380 (44) 529 0516,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Accreditation Services for International School, Colleges and Universities (ASIC)
Council for Higher Education Accreditation in the United States of America (CHEA)
International Association of Universities (IAU)
University Alliance of the Silk Road","V.I. Vernadsky Taurida National University
|
Institute of Humanities Institute of Arts Institute of Management, Economics and Nature Management Institute of Philology and Journalism Institute of Municipal Management and Municipal Economy Department of Physical Education, Sport and Human Health Kyiv College of Municipal Services","['library', 'housing', 'sports facilities', 'distant learning']"
4,Vaal University of Technology,world rank  5071,"Private Bag X021
Vanderbijlpark
1900 Gauteng
South Africa",+27 (16) 950 9000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"Universities South Africa (USA)
Association of African Universities (AAU)
South African Qualification Association (SAQA)","Vaal University of Technology
|
Faculty of Applied and Computer Sciences Faculty of Engineering and Technology Faculty of Human Sciences Faculty of Management Sciences","['library', 'sports facilities']"
5,Vaasan ammattikorkeakoulu,world rank  5041,"Wolffintie 30
Vaasa
65200 Ostrobothnia
Finland",+358 207 663 300,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
6,Vaasan yliopisto,world rank  1934,"PO Box 700
Vaasa
65101 Ostrobothnia
Finland",+358 (29) 449 8000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,European University Association (EUA),"Vaasan yliopisto
|
School of Management School of Accounting and Finance School of Marketing and Communication School of Technology and Innovation","['library', 'sports facilities', 'financial aid', 'career services']"
7,Valaya Alongkorn Rajabhat University,world rank  6639,"1 Moo 20 Phaholyothin Road, Klongluang
Pathum Thani
13180 Pathum Thani
Thailand",+66 (2) 529 0674-7,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
8,Valdosta State University,world rank  1210,"1500 N Patterson Street
Valdosta
31698 Georgia
United States",+1 (229) 333 5800,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Computing Accreditation Commission (CAC) of ABET
American Chemical Society (ACS)
American Speech-Language-Hearing Association (ASHA)","University System of Georgia
American Association of State Colleges and Universities (AASCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
9,Valencia College,world rank  1158,"1768 Park Center Drive
Orlando
32835 Florida
United States",+1 (407) 299 2187,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","None, open admission policy",Public State,Non-Profit,no-data,Not available; please submit a list of official affiliations and memberships to relevant associations and organizations.,['Not reported']
