,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,N.P.I. University of Bangladesh,world rank  12835,"173/3, Narangai
Manikgonj
Dhaka
Bangladesh",+880 (2) 771 1176,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
1,N.R.U. Moscow Power Engineering Institute,world rank  2932,"Krasnokazarmennaya, 14
Moscow
111250 Moscow
Russia",+7 (495) 362 7307,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"International Association of Universities (IAU)
University of Shanghai Cooperation Organization
Association of Sino-Russian Technical Universities
BRICS Network University
Russian-Kyrgyz Consortium of Technical Universities","N.R.U. Moscow Power Engineering Institute
|
Institute of Power Machinery ad Mechanics Institute of Thermal and Nuclear Power Engineering Institute of Power Efficiency Problems Institute of Electrical Engineering Institute of Electrical Power Engineering Institute of Automatics and Computer Engineering Institute of Radio Engineering and Electronics Institute of Arts and Humanities Institute of Technologies, Economics and Business","['library', 'housing', 'sports facilities', 'financial aid']"
2,N.R.U. Moscow Power Engineering Institute in Dushanbe,world rank  10386,"Mirso Tursunzoda str., House 82
Dushanbe
734002 Dushanbe
Tajikistan",+992 (37) 221 8253,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
3,Nadbuzanska Szkola Wyzsza im. Marka J. Karpia w Siemiatyczach,world rank  12613,"ul. Kosciuszki 43
Siemiatycze
17-300 Podlaskie Voivodeship
Poland",+48 (85) 655 5919,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","None, open admission policy",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
4,Nagahama Institute of Bio-Science and Technology,world rank  8076,"Nagahama
526-0829 Shiga
Japan",+81 (749) 64 8100,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
5,Nagaland University,world rank  8261,"PB 341, Lumami
Kohima
797 001 Nagaland
India",+91 (370) 229 0488,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,Association of Indian Universities (AIU),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
6,Nagano College of Nursing,world rank  7394,"Komagane
399-4117 Nagano
Japan",+81 (265) 81 5100,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
7,Nagano University,world rank  6008,"Shimonogo 658-1
Ueda
386-1298 Nagano
Japan",+81 (268) 39 0001,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
8,Nagaoka Institute of Design,world rank  6149,"Nagaoka
Niigata
Japan",+81 (258) 21 3331,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
9,Nagaoka University,world rank  8272,"Nagaoka
Niigata
Japan",+81,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
