,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,B.S. Abdur Rahman Crescent Institute of Science and Technology,world rank  8194,"GST Road
Chennai
600 048 Tamil Nadu
India",+91 (44) 2275 1347,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Association of Indian Universities (AIU)
Association of Commonwealth Universities (ACU)","B.S. Abdur Rahman Crescent Institute of Science and Technology
|
School of Mechanical Sciences School of Building Sciences School of Architecture Crescent Business School School of Electrical and Communication Sciences School of Computer, Information and Mathematical Sciences School of Physical and Chemical Sciences School of Social Sciences and Humanities School of Islamic Studies School of Life Sciences","['housing', 'sports facilities', 'financial aid']"
1,B2 Visoka šola za poslovne vede,world rank  9303,"Tržaška 42
Ljubljana
1000 Lower Carniola
Slovenia",+386 (1) 244 4227,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Non-Profit,no-data,"B2 Visoka šola za poslovne vede
|
School of Business",['library']
2,BA ISAGO University,world rank  10181,"11 Koi Street, Peolwane; Private Bag 149, Suite#268
Gaborone
Gaborone
Botswana",+267 395 7744,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"BA ISAGO University
|
Faculty of Commerce Faculty of Law and Para-Legal Studies Faculty of The Built Environment, Arts and Science Faculty of Education",['Not reported']
3,Baba Farid University of Health Sciences,world rank  5737,"Sadiq Road
Faridkot
151 203 Punjab
India",+91 (1639) 256 232,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,"Association of Commonwealth Universities (ACU)
Association of Indian Universities (AIU)
Medical Council of India (MCI)","Baba Farid University of Health Sciences
|
Faculty of Medical Sciences Faculty of Dental Sciences Faculty of Nursing Sciences",['library']
4,Baba Ghulam Shah Badhshah University,world rank  6682,"National Highway Road 144A
Rajouri
185 131 Jammu and Kashmir
India",+91 (1962) 262 616,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Baba Ghulam Shah Badhshah University
|
Faculty of Mathematical Sciences and Engineering Faculty of Management Studies Faculty of Biosciences and Biotechnology Faculty of Healthcare and Pharmacy Faculty of Material Sciences and Nano-Technology Faculty of Islamic Studies College of Engineering and Technology",['library']
5,Baba Mastnath University,world rank  10936,"Asthal Bohar
Rohtak
124 021 Haryana
India",+91 868388830,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,"Baba Mastnath University
|
Faculty of Science",['Not reported']
6,Babasaheb Bhimrao Ambedkar Bihar University,world rank  8729,"Kalambagh Road
Muzaffarpur
842 001 Bihar
India",+91 (621) 224 8255,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Association of Indian Universities (AIU)
Medical Council of India (MCI)
Distance Education Bureau (DEB)","Babasaheb Bhimrao Ambedkar Bihar University
|
Department of Hindi Department of Commerce Department of Home Science Department of Psychology Department of Bengali Department of Zoology Department of Botany Department of Chemistry Department of Geography Department of Physics Department of Electronics Department of Mathematics Department of History Department of Political Science Department of Philosophy Department of Economics Department of Urdu Department of Russian Department of Persian Department of Sanskrit Department of Maithili Department of English","['library', 'distant learning']"
7,Babasaheb Bhimrao Ambedkar University,world rank  6530,"Vidya Vihar Rae Bareli Road
Lucknow
226 025 Uttar Pradesh
India",+91 (522) 244 0820,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,"Association of Commonwealth Universities (ACU)
Association of Indian Universities (AIU)
National Assessment and Accreditation Council (NAAC)","Babasaheb Bhimrao Ambedkar University
|
School for Ambedkar Studies School for Information Science and Technology School for Environmental Sciences School for Education School for Bio-Sciences and Bio-technology School for Legal Studies School for Physical Sciences School for Management Institute of Engineering and Technology","['library', 'sports facilities']"
8,Babcock University,world rank  7007,"Private Mailbox 21244
Ilishan-Remo
Ogun
Nigeria",+234 (803) 402 3356,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,Association of African Universities (AAU),"Babcock University
|
Faculty of Education and Humanities School of Law and Security Sciences School of Management and Social Sciences School of Science and Technology","['library', 'sports facilities']"
9,Babol Noshirvani University of Technology,world rank  6653,"Babol
Mazandaran
Iran",+98,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Babol Noshirvani University of Technology
|
School of Basic Science School of Chemical Engineering School of Civil Engineering School of Electrical and Computer Engineering School of Mechanical Engineering","['library', 'housing', 'sports facilities', 'financial aid']"
