,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,Z.H. Sikder University of Science and Technology,world rank  12681,"Madhupur, Kartikpur
Bhedorgonj
Dhaka
Bangladesh",+880 (1775) 217 117,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
1,Zabol University of Medical Sciences,world rank  9534,"Zabol
Sistan and Baluchestan
Iran",+98,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
2,Zachodniopomorska Szkola Biznesu w Szczecinie,world rank  4745,"ul. Zolnierska 53
Szczecin
71-210 West Pomeranian Voivodeship
Poland",+48 (91) 814 9417,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'distant learning']"
3,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,world rank  3340,"al. Piastów 17
Szczecin
70-310 West Pomeranian Voivodeship
Poland",+48 (91) 434 6751,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
4,Zagazig University,world rank  4332,"Zagazig
44519 Sharqia
Egypt",+20 (55) 324 577,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,"Supreme Council of Universities (SCU)
Federation of the Universities of the Islamic World (FUIW)","Zagazig University
|
Faculty of Pharmacy Faculty of Medicine Faculty of Commerce Faculty of Arts Faculty of Education Faculty of Law Faculty of Engineering Faculty of Veterinary Medicine Faculty of Nursing Faculty of Agriculture Faculty of Science Faculty of Specific Education Faculty of Physical Education Males Faculty of Physical Education Females Faculty of Computers and Informatics","['library', 'sports facilities']"
5,Zagrebacka škola ekonomije i managementa,world rank  6709,"Jordanovac 110
Zagreb
10000 Zagreb
Croatia",+385,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
6,Zahedan University of Medical Sciences,world rank  8649,"Zahedan
98135 Sistan and Baluchestan
Iran",+98 (541) 241 9473,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
7,Zambian Christian University,world rank  13135,"PO Box 630115
Choma
Southern Province
Zambia",+260,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
8,Zambian Royal Medical University,world rank  Un,"PO Box 33859
Lusaka
Lusaka
Zambia",+260,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
9,Zamboanga State College of Marine Sciences and Technology,world rank  12315,"Fort Pilar
Zamboanga City
7000 Zamboanga Peninsula
Philippines",+63 (62) 992 3092,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
10,Zamfara State University,world rank  Un,"Talata Mafara
Zamfara
Nigeria",+234,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
11,Zanjan University,world rank  4275,"PO Box 45195-313
Zanjan
Zanjan
Iran",+98 (241) 528 5151,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
