,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,I.M. Seçenov adina Birinci Moskva Dövlet Tibb Universitetinin Baki,world rank  12060,"Huseyn Javid Avenue 131
Baku
AZ1073 Absheron
Azerbaijan",+994 (12) 599 0810,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,Moscow State Medical University named after IM Sechenov,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
1,Iakob Gogebashvili Telavi State University,world rank  9805,"1 Kartuli Universiteti Street
Telavi
2200 Kakheti
Georgia",+995 (350) 724 01,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities']"
2,IBA Erhvervsakademi Kolding,world rank  7455,"Ålegården 2-4
Kolding
6000 Region of Southern Denmark
Denmark",+45 7211 8200,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
3,IBAIS University,world rank  11891,"House 16, Road 05, Sector 04, Uttara
Dhaka
1230 Dhaka
Bangladesh",+880 (2) 5895 5314,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,"IBAIS University
|
Faculty of Humanities and Law Faculty of Business and Economics Faculty of Science and Engineering","['library', 'housing', 'sports facilities', 'financial aid']"
4,Ibanda University,world rank  12851,"PO Box 35
Ibanda
Western Region
Uganda",+256 (414) 694 823,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
5,Ibaraki Christian University,world rank  7002,"6-11-1 Omika-cho
Hitachi
319-1295 Ibaraki
Japan",+81 (294) 52 3215,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
6,Ibaraki Prefectural University of Health Sciences,world rank  7038,"4669-2 Ami
Ami
300-0394 Ibaraki
Japan",+81 (298) 88 4000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
7,Ibaraki University,world rank  2915,"2-1-1 Bunkyo
Mito
310-8512 Ibaraki
Japan",+81 (29) 228 8111,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Ibaraki University
|
College of Humanities College of Education College of Sciences College of Engineering College of Agriculture","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
8,Ibb University,world rank  11277,"PO Box 70270
Ibb City
Ibb
Yemen",+967 (4) 408 183,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,"Federation of the Universities of the Islamic World (FUIW)
Association of Arab Universities
Arab Higher Education Institutions
Association of World Universities
International Computer Driving License (ICDL)","Ibb University
|
Faculty of Medicine and Health Science Faculty of Dentistry Faculty of Engineering and Architecture Faculty of Science Faculty of Agriculture and Veterinary Medicine Faculty of Administrative Sciences Faculty of Education Al-Nadirah Faculty of Arts Faculty of Law Faculty of Specific Education Al-Saddah","['library', 'housing', 'sports facilities', 'financial aid']"
9,IB-Hochschule Berlin,world rank  8225,"Gerichtsstrasse 27
Berlin
13347 Berlin
Germany",+49 (30) 2593 09220,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
10,Ibn Haldun Üniversitesi,world rank  7340,"Istanbul
Istanbul
Turkey",+90,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
11,Ibn Khaldoun University,world rank  13000,"Aden
Aden
Yemen",+967 (2) 271 121,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
12,Ibn Sina College for Health Sciences,world rank  Un,"Nablus
West Bank
Palestinian Territory",+970 (9) 259 1881,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
13,Ibn Sina University,world rank  13050,"PO Box 10995; Aljerif West Block 5, Building No. 88
Khartoum
11111 Khartoum
Sudan",+249 (155) 885 511,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
14,Ibn Sina University of Medical and Pharmaceutical Sciences,world rank  12895,"Baghdad
Baghdad
Iraq",+964,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,no-data,"Ibn Sina University of Medical and Pharmaceutical Sciences
|
College of Medicine College of Dentistry","['sports facilities', 'career services']"
15,Ibra College of Technology,world rank  8412,"PO Box 327
Ibra
400 Ash Sharqiyah North
Oman",+968 2558 7800,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Institute of Electrical and Electronics Engineers (IEEE)
Institution of Engineering and Technology (IET)","Ibra College of Technology
|
Department of Business Studies Department of Engineering Department of Information Technology English Language Centre Educational Technology Centre","['library', 'housing', 'sports facilities', 'financial aid']"
16,Ibrahim Badamasi Babangida University,world rank  10578,"Lapai
Niger
Nigeria",+234,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
17,Ibri College of Technology,world rank  10780,"PO Box 466, Al-Aqder
Ibri
516 Ad Dhahirah
Oman",+968 2568 6005,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Ibri College of Technology
|
Information Technology Department Engineering Department Department of Business Studies",['library']
18,IBS Mednarodna poslovna šola Ljubljana,world rank  11615,"Mencingerjeva 7
Ljubljana
1000 Lower Carniola
Slovenia",+386 (40) 561 896,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'distant learning']"
19,Icahn School of Medicine at Mount Sinai,world rank  883,"1 Gustave L Levy Place
New York City
10029-6574 New York
United States",+1 (212) 241 6500,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,"Council on Education for Public Health (CEPH)
Liaison Committee on Medical Education (LCME)",Not available; please submit a list of official affiliations and memberships to relevant associations and organizations.,['Not reported']
20,ICAM - Institut Catholiques d'Arts et Métiers,world rank  4605,"6, Rue Auber; Boîte Postale 10079
Lille
59800 Hauts-de-France
France",+33 (0)3 20 22 61 61,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,Fédération des établissements d'enseignement supérieur d'intérêt collectif (FESIC),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid']"
21,"ICFAI University, Dehradun",world rank  8778,"Rajawala Road, Central Hope Town, Selaqui
Dehradun
248 197 Uttarakhand
India",+91 (135) 324 6450,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid', 'distant learning']"
22,"ICFAI University, Himachal Pradesh",world rank  11412,"Plot No. 5, Himuda Educational Hub, Kalujhinda, PO Mandhala, Via Barotiwala
Baddi
174 103 Himachal Pradesh
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
23,"ICFAI University, Jaipur",world rank  10396,"Agra Road
Jaipur
302 031 Rajasthan
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
