,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,M. Akmullah Bashkir State Pedagogical University,world rank  3087,"ul. Oktyabrskoy Revolutsii, 3a
Ufa
450000 Bashkortostan Republic
Russia",+7 (347) 273 2609,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"M. Akmullah Bashkir State Pedagogical University
|
Faculty of Physics and Mathematics Faculty of Fine Arts, Faculty of Psychology Natural Geography Faculty Faculty of Physical Training Faculty of Bashkir Philology Social Humanitarian Faculty Institute of Pedagogy Vocational Education and Information Technologies Institute Law and History Education Institute Philology Education and Intercultural Communication Institute Pedagogical Personnel Retraining Institute","['library', 'housing', 'sports facilities', 'financial aid']"
1,M.J.P. Rohilkhand University,world rank  6328,"Dori Lal Agarwal Road, Pilibhit Bypass Road
Bareilly
243 006 Uttar Pradesh
India",+91 (581) 252 7263,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,Association of Commonwealth Universities (ACU),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
2,M.V. Lomonosov adina Moskva Dövlet Universitetinin Baki,world rank  8388,"pos. Khojasan, University, 1, Binagadi district
Baku
AZ1144 Absheron
Azerbaijan",+994 (12) 598 9330,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,Lomonosov Moscow State University,"M.V. Lomonosov adina Moskva Dövlet Universitetinin Baki
|
Faculty of Philology Faculty of Applied Mathematics Faculty of Chemistry Faculty of Psychology Faculty of Economics Faculty of Physics","['library', 'housing', 'sports facilities']"
3,"M_EIA Instituto Universitário de Arte, Tecnologia e Cultura",world rank  10916,"Liceu Velho
Mindelo
CP 190 Sao Vicente
Cape Verde",+238 231 2584,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
4,Maasai Mara University,world rank  9441,"off Narok/Bomet Road; PO Box 861
Narok
20500 Narok
Kenya",+254 (20) 808 2410,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
5,Maastricht School of Management Kuwait,world rank  11428,"Block 3, Kazima Street
Dasma
22097 Al Asimah
Kuwait",+965 2251 7091,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
6,Macalester College,world rank  1006,"1600 Grand Avenue
Saint Paul
55105-1899 Minnesota
United States",+1 (651) 696 6000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,American Chemical Society (ACS),"Associated Colleges of the Midwest (ACM)
Associated Colleges of the Twin Cities (ACTC)
Council of Independent Colleges (CIC)
American Council on Education (ACE)
Association of American Colleges and Universities (AAC&U)
Association of Presbyterian Colleges and Universities (APCU)
Minnesota Private College Council (MPCC)
American Association of Colleges for Teacher Education (AACTE)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
7,Macau Institute of Management,world rank  12083,"Rua de Xangai 175, Edif. ACM, 9º andar
Macao

Macau",+853 2832 3233,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
8,Macau Millennium College,world rank  11144,"Alameda Dr. Carlos D'Assumpção n.º 255, China Civil Plaza, 8º andar
Macao

Macau",+853 2878 8186,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
9,Macau University of Science and Technology,world rank  3633,"Avenida Wai Long
Macao

Macau",+853 2888 1122,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"International Association of Universities (IAU)
Association of Universities of Asia and the Pacific (AUAP)
Asia-Pacific Quality Network (APQN)","Macau University of Science and Technology
|
Faculty of Information Technology Faculty of Law Faculty of Chinese Medicine Faculty of Management and Administration Faculty of Health Sciences Faculty of Humanities and Arts Faculty of Hospitality and Tourism Management Department of General Education Pre-University School of Continuing Studies","['library', 'housing', 'sports facilities', 'financial aid']"
10,MacEwan University,world rank  1807,"PO Box 1796
Edmonton
T5J 2P2 Alberta
Canada",+1 (780) 497 5040,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Alberta Colleges Athletics Conference (ACAC)
Canada West Universities Athletic Association
Colleges and Institutes Canada (CICan)
Canadian Collegiate Athletic Association (CCAA)
Alberta Association of Colleges and Technical Institutes (AACTI)
Canadian Bureau for International Education (CBIE)
Canadian University Press (CUP)","MacEwan University
|
Faculty of Arts and Science Faculty of Fine Arts and Communications Faculty of Health and Community Studies Faculty of Nursing School of Business School of Continuing Education","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
