,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,Earlham College,world rank  843,"801 National Road West
Richmond
47374-4095 Indiana
United States",+1 (765) 983 1200,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"American Chemical Society (ACS)
Association of Theological Schools in the United States and Canada (ATS), Commission on Accrediting
STARS/AASHE","Council of Independent Colleges (CIC)
Great Lakes Colleges Association (GLCA)
Associated Colleges of the Midwest (ACM)
Heartland Collegiate Athletic Conference (HCAC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
1,East Africa Star University,world rank  13147,"PO Box 2773
Bujumbura
Bujumbura Mairie
Burundi",+257 (79) 934 098,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Non-Profit,no-data,"East Africa Star University
|
Faculty of Medical Studies Faculty of Agricultural Sciences and Bio-engineering Faculty of Computer Science Institute of Community Health Institute of Child and Adolescent Education Institute of Accounting and Finance","['library', 'financial aid']"
2,East African University Rwanda,world rank  12644,"PO Box 179
Nyagatare
Eastern Province
Rwanda",+250 788 491 333,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"East African University Rwanda
|
School of Business School of Film Studies, Mass Communication and Industrial Art and Design School of Education",['library']
3,East Asia Management University,world rank  13247,"#610, Oknha Kleang Moeung St. (70), Sangkat Toul Sangke, Khan Reussey Keo
Phnom Penh
Phnom Penh
Cambodia",+855 (17) 907 957,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Not reported,no-data,"East Asia Management University
|
Faculty of Business and Management Faculty of Tourism and Hospitality Management Faculty of Health Sciences Faculty of Arts, Humanities, Languages and Education Faculty of Engineering Faculty of Computer Science, Design and Technology","['library', 'sports facilities', 'financial aid', 'career services']"
4,East Carolina University,world rank  581,"East 5Th Street
Greenville
27858-4353 North Carolina
United States",+1 (252) 328 6131,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
Engineering Accreditation Commission (EAC) of ABET
Commission on Collegiate Nursing Education (CCNE)
National Association of Schools of Music (NASM)
National Association of Schools of Art & Design (NASAD)
Council for the Accreditation of Educator Preparation (CAEP)
Commission on Accreditation of Athletic Training Education (CAATE)
Council on Academic Accreditation in Audiology and Speech-Language Pathology (CAA)
American Association of Family and Consumer Sciences (AAFCS)
Council for Accreditation of Counseling and Related Educational Programs (CACREP)
National Accrediting Agency for Clinical Laboratory Science (NAACLS)
American Council for Construction Education (ACCE)
Association of Technology, Management, and Applied Engineering (ATMAE)
Commission on Dental Accreditation (CODA)
Commission on English Language Program Accreditation (CEA)
Applied and Natural Science Accreditation Commission (ANSAC) of ABET
National Environmental Health Science and Protection Accreditation Council (EHAC)
Council for the Accreditation of Health Informatics and Information Management (CAHIIM)
Association of University Programs in Health Administration (AUPHA)
Association of Technology, Management, and Applied Engineering (ATMAE)
American Psychological Association (APA)
Council for Interior Design Accreditation (CIDA)
American Library Association (ALA)
Commission on Accreditation for Marriage and Family Therapy Education (COAMFTE)
Liaison Committee on Medical Education (LCME)
Council on Accreditation of Nurse Anesthesia Educational Programs (COA)
Accreditation Commission for Midwifery Education (ACME)
Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics (ACEND)
Accreditation Council for Occupational Therapy Education (ACOTE)
Commission on Accreditation in Physical Therapy Education (CAPTE)
Accreditation Review Committee on Education for the Physician Assistant (ARC-PA)
Commission on Accreditation of Medical Physics Education Programs (CAMPEP)
National Association of Schools of Public Affairs and Administration (NASPAA)
Council on Education for Public Health (CEPH)
Council on Accreditation of Parks, Recreation, Tourism, and Related Professions (COAPRT)
Commission on Accreditation of Allied Health Education Programs (CAAHEP)
Council on Social Work Education (CAWE)
National Association of Schools of Theatre (NAST)
Planning Accreditation Board (PAB)","University of North Carolina System
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
5,East Central University,world rank  3099,"1100 E. 14th Street
Ada
74820-6899 Oklahoma
United States",+1 (580) 332 8000,Men and Women (coed),Native American non-tribal Institution,"Yes, international applicants are welcome to apply for admission",Public State,For-Profit,"Accreditation Council for Business Schools and Programs (ACBSP)
Commission on Accreditation of Athletic Training Education (CAATE)
Council on Rehabilitation Education (CORE)
Council on Social Work Education (CSWE)","Oklahoma State System of Higher Education (OSSHE)
American Association of State Colleges and Universities (AASCU)
Regional University System of Oklahoma (RUSO)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
6,East China Jiaotong University,world rank  9922,"Huadong Road, Qingshanhu District
Nanchang
330013 Jiangxi
China",+86 (791) 704 6939,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
7,East China Normal University,world rank  563,"3663 Zhongshan North Road, Putuo District
Shanghai
200062 Shanghai
China",+86 (21) 6257 2289,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'financial aid']"
8,East China University of Political Science and Law,world rank  3722,"Shanghai
Shanghai
China",+86,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'financial aid']"
9,East China University of Science and Technology,world rank  1293,"130 Meilong Road, Xuhui District
Shanghai
200237 Shanghai
China",+86 (21) 6425 3279,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,no-data,"East China University of Science and Technology
|
School of Chemical Engineering School of Chemistry and Molecular Engineering School of Biotechnology School of Pharmacy School of Materials Science and Engineering School of Information Science and Engineering School of Mechanical and Power Engineering School of Resource and Environmental Engineering School of Business School of Social and Public Administration School of Science School of Art Design and Media School of Foreign Languages School of law School of Sports Science and Engineering School of Marxism Studies","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
