,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,D.A. Tsenov Academy of Economics,world rank  5298,"2 Emanuil Chakarov Str.
Svishtov
5250 Veliko Tarnovo
Bulgaria",+359 (631) 662 46,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,European University Association (EUA),"D.A. Tsenov Academy of Economics
|
Faculty of Economic Accounting Faculty of Finance Faculty of Management and Marketing Faculty of Production and Commercial Business Department of Social Sciences College of Economics and Management, Svishtov","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
1,Dadabhoy Institute of Higher Education,world rank  10387,"SNPA-17/B, Block 3, K.C.H.S. Union Ltd, Shaheed-e-Millat Road
Karachi
Sindh
Pakistan",+92,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
2,Daegu Arts University,world rank  11739,"San 117-6, Dabu-ri, Gasan-myeon
Chilgok-gun
718-912 North Gyeongsang
South Korea",+82 (54) 973 5311,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'financial aid']"
3,Daegu Haany University,world rank  9895,"290, Yugok-dong
Gyeongsan
712-715 North Gyeongsang
South Korea",+82 (53) 819 1000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'financial aid']"
4,Daegu National University of Education,world rank  11188,"1797-6 Daemyong 2-8 dong, Nam-gu
Daegu
705-715 Daegu
South Korea",+82 (53) 620 1512,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
5,Daegu University,world rank  4045,"15 Naeri-ri, Jillyang
Gyeongsan
712-714 North Gyeongsang
South Korea",+82 (53) 850 5000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'financial aid']"
6,Daejeon University,world rank  8467,"96-3 Yongun-dong, Dong-gu
Daejeon
300-716 Daejeon
South Korea",+82 (42) 282 0231,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'financial aid']"
7,Daejin University,world rank  8589,"San 11-1 Sundan-dong
Pocheon
487-711 Gyeonggi
South Korea",+82 (31) 539 2403,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
8,Daemen College,world rank  2743,"4380 Main Street
Amherst
14226-3592 New York
United States",+1 (800) 462 7652,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"American Physical Therapy Association (APTA), Commission on Accreditation in Physical Therapy Education (CAPTE)
Accreditation Review Commission on Education for the Physician Assistant, Inc. (ARC-PA)
Council on Social Work Education (CSWE)
Accreditation Commission for Education in Nursing (ACEN)
International Accreditation Council for Business Education (IACBE)
Association for Advancing Quality in Educator Preparation (AAQEP)
Commission on Accreditation of Athletic Training Education (CAATE)
American Bar Association, Standing Committee on Paralegals","Association for the Advancement of Sustainability in Higher Education
Association of American Colleges and Universities
Association of Governing Boards
Commission on Independent Colleges and Universities
Council of Independent Colleges
Council on Undergraduate Research
National Association of Independent Colleges and Universities Division II
P2 Collaborative of WNY, Inc.
Western New York Consortium of Higher Education
Western New York Service Learning Coalition
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
9,Daeshin University,world rank  11789,"137 Baekcheon-dong
Gyeongsan
712-713 North Gyeongsang
South Korea",+82 (53) 811 1181,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
10,Daeyang University,world rank  13018,"PO Box 30330, Kanengo
Lilongwe
Central Region
Malawi",+265,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
11,Daffodil International University,world rank  3974,"102, Shukrabad, Mirpur Road, Dhanmondi
Dhaka
1207 Dhaka
Bangladesh",+880 (2) 913 8234-5,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Asia-Europe Foundation (ASEF)
Sustainable Development Solutions Network (SDSN)
Global University Network for Innovation
The Association of the Universities of Asia and the Pacific (AUAP)
World Universities Association for Community Development (WUACD)
Magna Charta Universitatum Observatory
The International Federation of Library Associations and Institutions (IFLA)
UMAP International Secretariat
Eurasian Universities Union (EURAS)
Kalinga Institute of Social Sciences (KISS)
Guide Association
International Telecommunication Union (ITU)
United Nations Global Compact (UNGC)
Kauffman FastTrac
Kauffman Foundation
Asia Cooperation Dialogue
The Accreditation Council for Business Schools and Programs (ACBSP)
The Association of Commonwealth Universities
Eurasian Silk Road Universities Consortium (ESRUC)
International Association of Universities (IAU)
International Association of University Presidents (IAUP)
Institute of International Education (IIE)
American Council on Education
University Grant Commission
Association of Private Universities of Bangladesh (APUB)
American Library Association (ALA)
Association of Management Development Institutions in South Asia (AMDISA)
American Chamber of Commerce and Industry (AmCham)
Association of Training Institutions for Foreign Trade in Asia and the Pacific (ATIFTAP)
European Association for International Education (EAIE)
Council of Economic Advisers (CEA)
Institute of Electrical and Electronics Engineers (IEEE)
International Software Testing Qualifications Board (ISTQB)
Association of International Educators
United Nations Academic Impact (UNAI)
Asia Pacific University Community Engagement Network (APUCEN)
Asian University Presidents Forum (AUPF)
Association to Advance Collegiate Schools of Business (AACSB)","Daffodil International University
|
Faculty of Science and Information Technology Faculty of Engineering Faculty of Business and Entrepreneurship Faculty of Allied Health Science Faculty of Humanities and Social Science","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
12,Dagestan State Agrarian University,world rank  10728,"ul. M. Hajiyev, d. 180
Makhachkala
367032 Dagestan Republic
Russia",+7 (8722) 682 470,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
13,Dagestan State Medical University,world rank  8183,"ul. Lenina 6
Makhachkala
367012 Dagestan Republic
Russia",+7 (8722) 670 794,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
14,Dagestan State Pedagogical University,world rank  9143,"ul. Jaragskogo 57
Makhachkala
367003 Dagestan Republic
Russia",+7 (8722) 670 928,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
15,Dagestan State Technical University,world rank  7299,"Ave. Imam Shamil, 70
Makhachkala
367015 Dagestan Republic
Russia",+7 (8722) 623 761,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
16,Dagestan State University,world rank  4585,"ul. Gadghieva, 43a
Makhachkala
3670000 Dagestan Republic
Russia",+7 (8722) 675 871,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
17,Dagon University,world rank  11590,"North Dagon
Yangon
Myanmar",+95,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
18,Dahan Institute of Technology,world rank  8853,"No. 1, Shuren Street, Dahan Village
Xincheng
97145 Hualien County
Taiwan",+886 (3) 821 0888,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Dahan Institute of Technology
|
College of Industry College of Management College of Tourism General Education Center",['Not reported']
19,Daido University,world rank  6275,"10-3 Takiharu-cho, Minami-ku
Nagoya
457-8530 Aichi
Japan",+81 (52) 612 6111,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Daido University
|
Faculty of Engineering Faculty of Informatics","['library', 'sports facilities']"
20,Daiichi Institute of Technology,world rank  7966,"1-10-2 Kokubu chuo
Kirishima
899-4395 Kagoshima
Japan",+81 (995) 45 0640,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
21,Daiichi University of Pharmacy,world rank  7576,"Tamagawa-cho, Minami-ku
Fukuoka
815-8511 Fukuoka
Japan",+81 092-541-0161,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
22,Daito Bunka University,world rank  3101,"1-9-1 Takashimadaira, Itabashi-ku
Tokyo
175-8571 Tokyo
Japan",+81 (3) 5399 7323,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
23,Dakota State University,world rank  1999,"820 N Washington Avenue
Madison
57042-1799 South Dakota
United States",+1 (605) 256 5111,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Accreditation Council for Business Schools and Programs (ACBSP)
Commission on Accreditation for Health Informatics and Information Management (CAHIIM)
Commission on Accreditation for Respiratory Care (CoARC)
South Dakota Department of Education
Council for Accreditation of Educator Preparation (CAEP)","South Dakota Board of Regents (SDBOR)
American Association of State Colleges and Universities (AASCU)
National Athletic Association (NAA)
National Association of Intercollegiate Athletics (NAIA)",['Not reported']
24,Dakota Wesleyan University,world rank  3982,"1200 W University Avenue
Mitchell
57301-4398 South Dakota
United States",+1 (605) 995 2600,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Commission on Accreditation of Athletic Training Education (CAATE)
National League for Nursing Accrediting Commission (NLNAC)","Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Association of Intercollegiate Athletics (NAIA)",['Not reported']
