,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,P P Savani University,world rank  11077,"National Highway 8, GETCO, Near Biltech
Kosamba
394 125 Gujarat
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
1,P.A. College,world rank  10637,"Corner of Faneromenis and Kalvou Street
Larnaca
6307 Larnaca
Cyprus",+357 (24) 021 555,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
2,P.K. University,world rank  12661,"Village Thanara
473 665 Madhya Pradesh
India",+91 (724) 111 5082,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
3,Pabna Science and Technology University,world rank  9436,"Dhaka - Pabna Hwy
Pabna
6600 Rajshahi
Bangladesh",+880 (731) 66742,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Pabna Science and Technology University
|
Faculty of Engineering and Technology Faculty of Science Faculty of Business Studies Faculty of Life and Earth Science Faculty of Humanities and Social Science","['library', 'housing', 'sports facilities', 'financial aid']"
4,Pace University,world rank  520,"1 Pace Plaza
New York City
10038-1598 New York
United States",+1 (866) 722 3338,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Regents of the State of New York
American Chemical Society
Accreditation Review Commission on Education for the Physician Assistant (ARC-PA)
Computer Science Accreditation Commission (CSAC) of the Computing Sciences Accreditation Board (CSAB)
Computing Accreditation Commission (CAC) of ABET","Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
5,Pacific Adventist University,world rank  10412,"Private Mail Bag
Boroko
National Capital District
Papua New Guinea",+675 (328) 1112,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
6,Pacific Lutheran University,world rank  1346,"12180 Park Ave South
Tacoma
98447-0003 Washington
United States",+1 (253) 535 7411,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Association to Advance Collegiate Schools of Business (AACSB International)
Accreditation Board for Engineering and Technology (ABET)
American Chemical Society (ACS)","Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
7,Pacific Medical University,world rank  12183,"Bhilon Ka Bedla, Pratap Pura, Otho Ka Gura, National Highway 76, Amberi
Udaipur
313 001 Rajasthan
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
8,Pacific National University,world rank  2137,"136 Tikhookeanskaya Street
Khabarovsk
680035 Khabarovsk Krai
Russia",+7 (4212) 37 51 86,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,For-Profit,"Eurasian Association of Universities (EAU)
Association of Sino-Russian Technical Universities (ASRTU)","Pacific National University
|
Far East Highway Institute Institute of Economics and Management Institute of Information Technologies Institute of Architecture and Civil Engineering Far East Institute of Forest Industry Institute of Transport and Power Engineering Far East Law Institute Far Eastern Institute of Technologies, Management, Business and Law Branch International Studies Department Department of Mathematical Modeling and Control Processes Extra-Mural Department","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
9,Pacific Northwest College of Art,world rank  6829,"511 NW Broadway
Portland
97209-3023 Oregon
United States",+1 (503) 226 4391,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"National Association of Schools of Art and Design (NASAD)
Northwest Commission on Colleges and Universities (NWCCU)","Association of Independent Colleges of Art and Design (AICAD)
National Association of Independent Colleges and Universities (NAICU)
Art Resources Consortium Northwest (ARC NW)
Oregon Independent College Association (OICA)
Foundations in Art Theory and Education (FATE)",['Not reported']
10,Pacific Oaks College,world rank  6105,"45 Eureka Street
Pasadena
91103-3565 California
United States",+1 (877) 314 2380,Men and Women (coed),Hispanic-serving Institution,"Yes, international applicants are welcome to apply for admission",Private,Non-Profit,no-data,Not available; please submit a list of official affiliations and memberships to relevant associations and organizations.,['Not reported']
11,Pacific State Medical University,world rank  5427,"prosp. Ostryakova, 2
Vladivostok
690600 Primorsky Krai
Russia",+7 (4232) 251 624,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
12,Pacific Union College,world rank  2482,"One Angwin Avenue
Angwin
94508-9707 California
United States",+1 (707) 965 6313,Men and Women (coed),"Asian American, Native American or Pacific Islander-serving Institution","Yes, international applicants are welcome to apply for admission",Private,Non-Profit,no-data,"Council of Independent Colleges (CIC)
International Assembly for Collegiate Business Education (IACBE)
National Athletic Association (NAA)
National Association of Intercollegiate Athletics (NAIA)",['Not reported']
13,Pacific University,world rank  1241,"2043 College Way
Forest Grove
97116 Oregon
United States",+1 (877) 722 8648,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"American Optometric Association (AOA), Accreditation Council on Optometric Education
American Occupational Therapy Association (AOTA), Accreditation Council for Occupational Therapy Education (ACOTE)
American Psychological Association (APA)","Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
14,"Pacific University, India",world rank  9387,"PB 12 Pacific Hills, Airport Road, Pratap Nagar Extension, Debari
Udaipur
313 024 Rajasthan
India",+91 (294) 249 4520,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Pacific University, India
|
Faculty of Engineering Faculty of Pharmacy Pacific Dental College and Hospital Pacific Institute of Technology",['library']
15,Pacifica Graduate Institute,world rank  4497,"249 Lambert Road
Carpinteria
93013 California
United States",+1 (805) 969 3626,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,Not available; please submit a list of official affiliations and memberships to relevant associations and organizations.,['Not reported']
16,Pädagogische Hochschule Freiburg,world rank  2873,"Kunzenweg 21
Freiburg im Breisgau
79117 Baden-Wurttemberg
Germany",+49 (761) 6820,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities']"
17,Pädagogische Hochschule Heidelberg,world rank  3083,"Keplerstrasse 87
Heidelberg
69120 Baden-Wurttemberg
Germany",+49 (6221) 4770,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
