,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,Qalam Institute of Higher Education,world rank  13180,"Kabul
Kabul
Afghanistan",+93 (78) 688 8666,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
1,Qarshi Davlat Universiteti,world rank  9738,"17, Kuchabog
Qarshi
730003 Qashqadaryo
Uzbekistan",+998 (7522) 5 77 63,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Qarshi Davlat Universiteti
|
Faculty of Natural Sciences Faculty of Education Faculty of Physical Culture Faculty of Uzbek philology Faculty of Physics and Mathematics Faculty of History and Social Sciences Faculty of Foreign Languages",['library']
2,Qarshi Muhandislik Iqtisodiyot Instituti,world rank  8117,"25, Mustakillik
Qarshi
730000 Qashqadaryo
Uzbekistan",+998 (7522) 221 0923,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Qarshi Muhandislik Iqtisodiyot Instituti
|
Faculty of Professional Education Faculty of Industrial Technology Faculty of Energy Faculty of Economics Faculty of Technical Engineering Faculty of Oil and Gas",['library']
3,Qarshi University,world rank  11389,"8-Km Thokar Niaz baig, Canal Bank Road, Opposite lzmir Town
Lahore
54000 Punjab
Pakistan",+92 (42) 3749 9164-5,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
4,Qassim University,world rank  1808,"PO Box 6688
Qassim
51452 Al-Qassim
Saudi Arabia",+966 (6) 380 0050,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,Open Education Consortium (OEC),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
5,Qasyuon University for Science and Technology,world rank  12631,"Mazzeh
Damascus
16532 Damascus
Syria",+963 (11) 611 3309,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Not reported,no-data,"Qasyuon University for Science and Technology
|
Faculty of Pharmacy Faculty of Communication Engineering Faculty of Computer Engineering Faculty of Architecture Engineering Faculty of Literatures and Humanities Faculty of Economics and Management",['sports facilities']
6,Qatar University,world rank  669,"Al-Jameaa Street
Doha
Ad-Dawhah
Qatar",+974 4403 3333,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,Federation of the Universities of the Islamic World (FUIW),"Qatar University
|
College of Education College of Arts and Sciences College of Sharia and Islamic Studies College of Engineering College of Law College of Business and Economics","['library', 'housing', 'sports facilities', 'financial aid']"
7,Qazvin University of Medical Sciences,world rank  5073,"Shahid Bahonar Boulevard
Qazvin
Qazvin
Iran",+98 (281) 333 6001 5,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
8,Qerb Kaspi Universiteti,world rank  8247,"31, Istiglaliyyat str.
Baku
AZ1001 Absheron
Azerbaijan",+994 (12) 492 7418,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,For-Profit,"International Associations of Universities
Black Sea Universities Network
International Institute of Administrative Sciences","Qerb Kaspi Universiteti
|
School of High Technologies and Innovative Engineering School of Design School of Business School of Economics School of Philology and Translation School of Political Science School of Natural and Applied Sciences School of Social Sciences","['library', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
9,Qiannan Normal College for Nationalities,world rank  9018,"13 Pingqiao Nanlu
Duyun
558000 Guizhou
China",+86 (854) 822 2737,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
10,Qilu Institute of Technology,world rank  10698,"Jinan
Shandong
China",+86,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
11,Qilu Medical University,world rank  8219,"Boshan Economic and Technological Development Zone
Zibo City
255213 Shandong
China",+86 (533) 461 9600,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
12,Qilu Normal University,world rank  11228,"36 Lishan Road, Lixia
Jinan
250013 Shandong
China",+86 (531) 6677 8117,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
13,Qilu University of Technology,world rank  6726,"Jinan
Shandong
China",+86,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
14,Qingdao Agricultural University,world rank  5226,"Laiyang
Shandong
China",+86,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
15,Qingdao Binhai University,world rank  7416,"Qingdao
Shandong
China",+86 (532) 8672 9032,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing']"
16,Qingdao Hengxing University of Science and Technology,world rank  11339,"Jiushui E Road, Licang
Qingdao
266100 Shandong
China",+86 (532) 8706 3307,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
17,Qingdao Huanghai University,world rank  6626,"Huangdao
Qingdao
266427 Shandong
China",+86 (532) 8317 5858,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
