,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,K L University,world rank  5008,"Green Fields
Vaddeswaram
522 502 Andhra Pradesh
India",+91 (8645) 246948,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,"K L University
|
K L University Business School School of Computing School of Electrical Sciences School of Mechanical and Civil Sciences School of Bio Sciences and Engineering School of Sciences and Humanities","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
1,K. Sh. Toktomamatova International University,world rank  9297,"30 Jenijok Str., ""Sputnik"" microdistrict
Jalalabat
715600 Jalal-Abad
Kyrgyzstan",+996 (3722) 5 18 11,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities']"
2,K.K. University,world rank  11746,"Berauti, Nepura
Biharsharif
803 115 Bihar
India",+91 808 464 4855,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"K.K. University
|
School of Engineering and Technology School of Commerce and Management School of Arts, Science and Culture School of Education, Training and Research School of Law and Legal Science School of Library and Information Science School of Mass Communication and Journalism School of Paramedical Science and Research School of Vocational Studies and Skill Development School of Pharmacy School of Medicine and Health","['library', 'housing', 'sports facilities']"
3,K.R. Mangalam University,world rank  8527,"Sohna Road
Gurgaon
122 103 Haryana
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
4,KAAF University College,world rank  12217,"KAAF Avenue Street, Gomoa Fetteh Kakraba
Kasoa
Central Region
Ghana",+233 (20) 112 1353,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,For-Profit,"Kwame Nkrumah University of Science and Technology (KNUST)
University for Development Studies (UDS)
Ghana Institute of Management and Public Administration (GIMPA)
Ghana Institute of Engineers","KAAF University College
|
Faculty of Engineering Department of Nursing Department of Business Administration Department of Law","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
5,Kaakkois-Suomen ammattikorkeakoulu,world rank  3563,"Pääskysentie 1
Kotka
48220 Kymenlaakso
Finland",+358 (40) 655 0555,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
6,Kabale University,world rank  11796,"PO Box 317, Kabale - Kikungiri Campus
Kabale
256 Western Region
Uganda",+256 782860259,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Inter-University Council for East Africa (IUCEA)
Agence Universitaire de la Francophonie (AUF)
Uganda Vice Chancellors' Forum","Kabale University
|
Faculty of Science Faculty of Education Faculty of Arts and Social Sciences Institute of Languages Faculty of Engineering, Technology, Applied Design and Fine Art School of Medicine Faculty of Computing, Library and Information Science Faculty of Economics and Management Sciences Faculty of Agriculture and Environmental Sciences","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
7,Kabarak University,world rank  8070,"PO Private Bag 20157
Nakuru
20100 Nakuru
Kenya",+254 (51) 343 234,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Non-Profit,no-data,"Kabarak University
|
School of Arts, Education and Theology School of Business School of Science, Engineering and Technology School of Law","['library', 'housing', 'sports facilities', 'financial aid']"
8,Kabardino-Balkarian State Agricultural University,world rank  9984,"ul. L. Tolstogo 185
Nalchik
360004 Kabardino-Balkar Republic
Russia",+7 (86622) 562 48,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
9,Kabardino-Balkarian State University,world rank  3034,"ul. CHernishevskogo 173
Nalchik
360004 Kabardino-Balkar Republic
Russia",+7 (8662) 4225 60,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
10,Kaboora Institute of Higher Education,world rank  Un,"District 10 - Street 4 - Qala-e-Fatullah
Kabul
Kabul
Afghanistan",+93 (79) 500 7570,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
11,Kabul Polytechnic University,world rank  10151,"Kabul
Kabul
Afghanistan",+93 (20) 220 1114,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,Open Education Consortium (OEC),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
12,Kabul University,world rank  7947,"Jamal Mina
Kabul
Kabul
Afghanistan",+93 (70) 029 4702,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
13,Kabul University of Medical Sciences,world rank  11744,"Jamal Mina, 3th district
Kabul
1006 Kabul
Afghanistan",+93 (20) 250 0327,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Kabul University of Medical Sciences
|
Faculty of Medicine Faculty of Stomatology Faculty of Nursing Faculty of Public Health Faculty of Allied Health Science","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
14,Kadi Sarva Vishwavidyalaya,world rank  9950,"Sector 15, Near KH - 5
Gandhinagar
382 015 Gujarat
India",+91 (79) 2324 4690,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
15,Kadir Has Üniversitesi,world rank  2500,"Kadir Has Üniversitesi, Kadir Has Caddesi, Cibali
Istanbul
34083 Istanbul
Turkey",+90 (212) 533 6532,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities']"
16,Kaduna State University,world rank  9634,"Private Mailbox 2339
Kaduna
Kaduna
Nigeria",+234,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
17,Kaetsu University,world rank  6235,"Koto-ku
Tokyo
Tokyo
Japan",+81,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
18,Kafkas Üniversitesi,world rank  3619,"Kafkas Üniversitesi Rektörlügü, Merkez
Kars
36100 Kars
Turkey",+90 (474) 242 6872,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
19,Kafrelsheikh University,world rank  5029,"El-Geish Street
Kafr El Sheikh
33516 Kafr el-Sheikh
Egypt",+20 (47) 322 4707,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,Supreme Council of Universities (SCU),"Kafrelsheikh University
|
Faculty of Agriculture Faculty of Engineering Faculty of Science and Technology Faculty of Pharmacy Faculty of Arts Faculty of Physical Education Faculty of Commerce Faculty of Education Faculty of Specific Education Faculty of Veterinary Medicine","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
20,KAG East University,world rank  11925,"Kitengela Campus
Nairobi
Nairobi
Kenya",+254 0736 666 218,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
21,Kagawa Nutrition University,world rank  4630,"3-9-21 Chiyoda
Sakado
350-0288 Saitama
Japan",+81 (492) 84 6245,Women Only,"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,For-Profit,Asia-Pacific Academic Consortium For Public Health (APACPH),"Kagawa Nutrition University
|
School of Nutrition Sciences","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
22,Kagawa Prefectural College of Health Sciences,world rank  7551,"Takamatsu
Kagawa
Japan",+81,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
23,Kagawa University,world rank  2488,"1-1, Saiwai-cho
Takamatsu
760-8521 Kagawa
Japan",+81 (87) 832 1000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
24,Kagoshima Immaculate Heart University,world rank  Un,"2365 Amatatsu-cho
Satsumasendai
895-0011 Kagoshima
Japan",+81 (996) 23 5311,Women Only,"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'distant learning']"
25,Kagoshima University,world rank  1886,"1-21-24 Korimoto
Kagoshima
890-8580 Kagoshima
Japan",+81 (99) 285 7111,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
26,Kahkashan-e-Sharq Higher Education Institute,world rank  12685,"Mokhaberat Street
Herat
Herat
Afghanistan",+93 (40) 222 391,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
27,Kahramanmaras Sütçü Imam Üniversitesi,world rank  3427,"Kahramanmaras Sütçü Imam Üniversitesi Rektörlügü, Avsar Yerleskesi Bati Çevreyolu Blv. No: 251/A
Kahramanmaras
46050 Kahramanmaras
Turkey",+90 (344) 300 10 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
28,Kaichi International University,world rank  9216,"1225-6
Kashiwa
277-0005 Chiba
Japan",+81 (4) 7167 8655,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
29,Kaili University,world rank  10682,"Kaili
Guizhou
China",+86,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
30,Kainan University,world rank  5998,"No. 1, Kainan Road, Luzhu District
Taoyuan City
33857 Taoyuan
Taiwan",+886 (3) 341 2500,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Kainan University
|
School of Humanities and Social Sciences School of Health Care and Management Information Institute Tourism Institute Business School","['library', 'financial aid']"
31,Kainar University,world rank  11086,"Satpaev str., 7 ?
Almaty
050013 Almaty
Kazakhstan",+7 (727) 267 52 91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
32,KAIST,world rank  354,"373-1 Guseong-dong, Yuseong-gu
Daejeon
305-701 Daejeon
South Korea",+82 (42) 869 2114,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
33,Kajaanin ammattikorkeakoulu,world rank  6238,"Ketunpolku 1
Kajaani
87101 Kainuu
Finland",+358 (44) 710 1616,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Kajaanin ammattikorkeakoulu
|
School of Business School of Tourism School of Sports School of Health School of Engineering School of Information Systems","['library', 'sports facilities', 'distant learning', 'career services']"
34,Kakatiya University,world rank  7745,"Vidyaranyapuri
Warangal
506 009 Telangana
India",+91 (870) 243 9966,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"Association of Commonwealth Universities (ACU)
Association of Indian Universities (AIU)
Distance Education Bureau (DEB)","Kakatiya University
|
Faculty of Arts Faculty of Commerce and Business Administration Faculty of Education Faculty of Engineering Faculty of Law Faculty of Pharmacy Faculty of Science Faculty of Social Sciences","['library', 'sports facilities', 'financial aid', 'distant learning']"
35,Kalaidos Fachhochschule,world rank  5832,"Jungholzstrasse 43
Zürich
8050 Zurich
Switzerland",+41 (44) 200 1919,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,For-Profit,Swiss University Conference (SUC),"Kalaidos Fachhochschule
|
Department Business and Management Department of Health Science Department Music Kalaidos Law School","['library', 'distant learning']"
36,Kalamazoo College,world rank  5161,"1200 Academy Street
Kalamazoo
49006-3295 Michigan
United States",+1 (269) 337 7000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,American Chemical Society (ACS),"National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
37,Kalasalingam Academy of Research and Education,world rank  6192,"Anand Nagar
Krishnankoil
626 126 Tamil Nadu
India",+91 (4563) 289 042,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
38,Kalashnikov Izhevsk State Technical University,world rank  3375,"Studencheskaya Street, 7
Izhevsk
426069 Udmurt Republic
Russia",+7 (3412) 77 60 55 ext. 5128,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,European University Association (EUA),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities']"
39,Kalasin University,world rank  8112,"13 Moo 14, Songplei, Namon
Kalasin
46230 Kalasin
Thailand",+66 (43) 602 033-43,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
40,Kalay University,world rank  13045,"Kalay
Chin
Myanmar",+95,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
41,Kalinga University,world rank  9906,"Village Kotni, Near Mantralay, Naya Raipur
Raipur
492 101 Chhattisgarh
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
42,Kaliningrad State Technical University,world rank  4880,"prosp. Sovetskij 1
Kaliningrad
236000 Kaliningrad Oblast
Russia",+7 (4012) 595 201,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
43,Kalmyk State University,world rank  6808,"ul. Pushkina 11
Elista
358000 Kalmykia Republic
Russia",+7 (84722) 534 31,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
44,Kaluga State University,world rank  4715,"ul. Stepan Razin 26
Kaluga
248023 Kaluga Oblast
Russia",+7 (4842) 576 120,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
45,Kamakura Women's University,world rank  7367,"1420 Iwase
Kamakura
247-8511 Kanagawa
Japan",+81 (467) 44 2111,Women Only,"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
46,Kamchatka State Technical University,world rank  8832,"ul. Kljuchevskaja 35
Petropavlovsk-Kamchatsky
683003 Kamchatka Krai
Russia",+7 (41522) 2 45 38,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
47,Kamchatka State University,world rank  8144,"ul. Border, 4
Petropavlovsk-Kamchatsky
683032 Kamchatka Krai
Russia",+7 (41522) 42 68 42,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
48,Kamdhenu University,world rank  10859,"Karmayogi Bhavan, Block-1, B1-wing, 4th Floor, Sector-10-A
Gandhinagar
382 010 Gujarat
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
49,Kameshwar Singh Darbhanga Sanskrit University,world rank  11340,"Kameshwar Nagar
Darbhanga
846 004 Bihar
India",+91 (6272) 222 178,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,Association of Indian Universities (AIU),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
50,Kamoliddin Behzod Nomidagi Milliy Rassomlik Va Dizayn Instituti,world rank  10527,"35, S. Azimov
Tashkent
100000 Tashkent
Uzbekistan",+998 (371) 255 1833,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Kamoliddin Behzod Nomidagi Milliy Rassomlik Va Dizayn Instituti
|
Faculty of Fine Arts Faculty of Applied Arts Faculty of Design Faculty of Arts",['library']
51,Kampala International University,world rank  3164,"PO Box 20000, Kampala - Kansanga Campus
Kampala
Central Region
Uganda",+256 (414) 266 813,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Non-Profit,"Association of African Universities (AAU)
Association of Commonwealth Universities
Inter-University Council for East Africa
East African Quality Assurance Network","Kampala International University
|
College of Education School of Law College of Economics and Management School of Computer and Information Technology Faculty of Clinical Medicine and Dentistry School of Allied Health Sciences School of Nursing Sciences School of Pharmacy School of Engineering and Applied Sciences School of Digital and E-learning Directorate of Postgraduate Studies and Research College of Humanities and Social Sciences Faculty of Biomedical Sciences","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
52,Kampala University,world rank  11233,"PO Box 25454, Kampala - Ggaba Campus
Kampala
Central Region
Uganda",+256 (41) 267 980,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
53,Kamphaeng Phet Rajabhat University,world rank  6464,"Nakhonchoom-Wangyang Road, Mueang
Kamphaeng Phet
62000 Kamphaeng Phet
Thailand",+66 (55) 706 555,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
54,Kampong Cham National School of Agriculture,world rank  Un,"Sangkat Kampong Cham
Kampong Cham
Kampong Cham
Cambodia",+855,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
55,Kamyanets-Podilsky Ivan Ohienko National University,world rank  4531,"61, Ohiienko Street
Kamianets-Podilskyi
32300 Khmelnytskyi Oblast
Ukraine",+380 (3849) 30513,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"International Association of Universities (IAU)
Consortium of Warsaw University and Ukrainian Universities","Kamyanets-Podilsky Ivan Ohienko National University
|
Faculty of Economics Faculty of Foreign Philology Faculty of History Faculty of Physics and Mathematics Faculty of Pedagogics;Faculty of Ukrainian Philology and Journalism Faculty of Natural Sciences Faculty of Physical Culture Faculty of Correctional and Social Pedagogics and Psychology","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
56,Kanagawa Dental University,world rank  5635,"82 Inaoka-cho
Yokusuka
238-8580 Kanagawa
Japan",+81 (468) 25 1500,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
57,Kanagawa Institute of Technology,world rank  5501,"1030 Shimoogino
Atsugi
243-0292 Kanagawa
Japan",+81 (462) 41 1211,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
58,Kanagawa University,world rank  1975,"3-27-1 Rokkakubashi
Yokohama
221-8686 Kanagawa
Japan",+81 (45) 481 5661,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Not reported,no-data,"Kanagawa University
|
Faculty of Law Faculty of Economics Faculty of Business Administration, Shonan Hiratsuka Campus Faculty of Foreign Languages Faculty of Human Sciences Faculty of Science, Shonan Hiratsuka Campus Faculty of Engineering","['library', 'sports facilities']"
59,Kanagawa University of Human Services,world rank  7330,"Yokosuka
238-8522 Kanagawa
Japan",+81,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
60,Kanazawa College of Art,world rank  5814,"5-11-1 Kodatsuno
Kanazawa
920-8656 Ishikawa
Japan",+81 (76) 262 3531,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
61,Kanazawa Gakuin University,world rank  6207,"10 Sue-machi
Kanazawa
920-1392 Ishikawa
Japan",+81 (762) 229 1181,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
62,Kanazawa Institute of Technology,world rank  3020,"7-1 Ohgigaoka
Nonoichi
921-8501 Ishikawa
Japan",+81 (76) 248 1100,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
