,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,Wa Polytechnic,world rank  12122,"PO Box 553
Wa
Upper West Region
Ghana",+233 (756) 22878,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Wa Polytechnic
|
School of Engineering",['library']
1,Wabash College,world rank  1497,"301 West Wabash Avenue
Crawfordsville
47933-0352 Indiana
United States",+1 (765) 361 6100,Men Only,"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"American Chemical Society (ACS)
Council for the Accreditation of Educator Preparation (CAEP)","Council of Independent Colleges (CIC)
Great Lakes Colleges Association
National Association of Independent Colleges and Universities (NAICU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
2,Wachamo University,world rank  11623,"PO Box 667
Hosaena
SNNPR
Ethiopia",+251 (46) 555 1910,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Wachamo University
|
College of Business and Economics College of Agricultural Sciences College of medicine and Health Sciences College of Social Science and Humanities College of Natural and Computational Sciences College of Engineering and Technology",['library']
3,Wad Medani Ahlia University,world rank  Un,"Wad Madani
21111 Al Jazirah
Sudan",+249 99 022 2399,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
4,Wade College,world rank  8557,"1950 N. Stemmons Freeway
Dallas
75207 Texas
United States",+1 (214) 637 3530,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","None, open admission policy",Private,For-Profit,no-data,Not available; please submit a list of official affiliations and memberships to relevant associations and organizations.,['Not reported']
5,Wadi International University,world rank  10452,"Wadi al-Nasara
Homs
Syria",+963 (11) 231 0281,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Wadi International University
|
Faculty of Human Sciences Faculty of Business Administration and Economics Faculty of Engineering",['library']
6,Wageningen Universiteit,world rank  243,"Droevendaalsesteeg 4
Wageningen
6708 PB Gelderland
Netherlands",+31 (317) 484 848,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,European University Association (EUA),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
7,Wagner College,world rank  2699,"One Campus Road
Staten Island
10301-4495 New York
United States",+1 (718) 390 3100,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Accreditation Council for Business Schools and Programs (ACBSP)
American Chemical Society (ACS)
Council for the Accreditation of Educator Preparation (CAEP)
National League for Nursing Accrediting Commission (NLNAC)","Council of Independent Colleges (CIC)
International Assembly for Collegiate Business Education (IACBE)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
8,Wakayama Medical University,world rank  4653,"811-1 Kimiidera
Wakayama
641-8509 Wakayama
Japan",+81 (73) 447 2300,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
9,Wakayama University,world rank  3252,"Wakayama
Wakayama
Japan",+81 (73) 457 7524,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Wakayama University
|
Faculty of Education and Graduate School of Education Faculty of Economics and Graduate School of Economics Faculty of Systems Engineering Graduate School of Systems Engineering",['library']
10,Wake Forest University,world rank  429,"1834 Wake Forest Road
Winston-Salem
27109 North Carolina
United States",+1 (336) 758 5000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Association to Advance Collegiate Schools of Business (AACSB International)
American Bar Association (ABA), Council of the Section of Legal Education and Admissions to the Bar
American Chemical Society (ACS)","568 Group
Oak Ridge Associated Universities (ORAU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
11,Wakkanai Hokusei Gakuen College,world rank  5220,"Wakkanai
Hokkaido
Japan",+81 (162) 32 7511,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
