,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
0,G.H. Raisoni University,world rank  11037,"G. H. Raisoni Nagar, Gram Doda Borgaon,Teh. Sausar
Saikheda
480 106 Madhya Pradesh
India",+91 90111 93338,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
1,G.L.S. University,world rank  11181,"G.L.S. Campus, Opp Law Garden, Ellisbridge
Ahmedabad
380 006 Gujarat
India",+91,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
2,Gábor Dénes Foiskola,world rank  7400,"Mérnök u. 39
Budapest
1119 Budapest
Hungary",+36 (1) 203 0283,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
3,Gaborone University College of Law and Professional Studies,world rank  10027,"Broadhurst Industrial, Lot 6398, Lejara Road; P.O BOX 201095
Gaborone
Gaborone
Botswana",+267 318 5596,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
4,Gachon University,world rank  3233,"San 65 Bokjeong-dong, Sujeong-gu
Seongnam
461-701 Gyeonggi
South Korea",+82 (31) 750 5114,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Gachon University
|
College of Humanities College of Business and Economics College of Law College of Engineering College of Bio Nano Technology College of Natural Science College of Information Technology College of Oriental Medicine College of Arts and Design School of Music College of Human Ecology College of Global General Education College of Nursing College of Medical Science","['library', 'financial aid']"
5,Gaidar Institute for Economic Policy,world rank  3247,"Gazetny lane 5 Street 3
Moscow
125993 Moscow
Russia",+7 (495) 629 6413,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
6,Gakushuin University,world rank  2181,"1-5-1 Mejiro, Toshima-ku
Tokyo
171-8588 Tokyo
Japan",+81 (3) 3986 0221,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Not reported,no-data,"Gakushuin University
|
Faculty of Law Faculty of Economics Faculty of Letters Faculty of Science","['library', 'sports facilities']"
7,Gakushuin Women's College,world rank  8530,"Shinjuku-ku
Tokyo
Tokyo
Japan",+81,Women Only,"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
8,Galatasaray Üniversitesi,world rank  3228,"Galatasaray Üniversitesi Çiragan Cad. No:36, Ortaköy
Istanbul
34349 Istanbul
Turkey",+90 (212) 227 4480,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
9,Galen University,world rank  9638,"62.5 Western Highway, PO Box 177
San Ignacio
Cayo
Belize",+501 824 3226,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
10,Galgotias University,world rank  4881,"Plot No. 2, Sector 17-A Yamuna Expressway
Noida
201 306 Uttar Pradesh
India",+91 (120) 437 0000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
11,GALIK University,world rank  8670,"105a Teryan Street
Yerevan
0009 Yerevan
Armenia",+374 (10) 589 698,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
